"Date","Observer.name","Stake","Plot","Fence","Tag","SpCode","Height.cm","Notes","X","Y","perc.leaf","Invasive1","perc.Invasive1","Invasive2","perc.Invasive2","Invasive3","perc.Invasive3","Invasive4","perc.Invasive4","Invasive5","perc.Invasive5","Invasive6","perc.Invasive6"
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"2228-00","ruph",NA,"dead in 2015",NA,NA,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"3104-00","acne","50","",0.2,0.1,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"3128-00","ruph","89","",0.4,0.6,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"3142-00","paqu","14","",0.6,0.3,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"3181-00","libe",NA,"NF",NA,NA,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"3399-00","paqu","18","Not on data sheet; new 2016?",0.6,0.7,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"4256-00","libe",NA,"NF",0.2,1,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"5408-00","fram","21","",0.4,0.4,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"5425-00","fram",NA,"NF",NA,NA,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"5800-00","libe","48","Not on data sheet; new 2016?",0.3,0,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"6301-00","paqu",NA,"D, TR",0.6,0.8,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"","paqu",NA,"NF",0.6,0.5,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"","rusp",NA,"NF",0.6,0.8,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"","paqu",NA,"NF",0.8,0.7,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"","libe",NA,"NF",0.4,0.8,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"","libe",NA,"NF",0.7,0.4,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"","paqu",NA,"NF",0.4,0.9,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"","paqu",NA,"NF",NA,NA,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"","paqu",NA,"NF",NA,NA,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"East",FALSE,"","ruph",NA,"NF",NA,NA,30,"mivi",70,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"2840-00","ruph","96","",0.3,0.2,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"2906-00","libe",NA,"NF",0.6,0.7,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"3170-00","fram","21","",0.4,0.7,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"3417-00","fram",NA,"NF",0.3,0.9,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"3861-00","rusp",NA,"dead in 2015",NA,NA,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"4100-00","fram",NA,"NF",0.9,0.2,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"4104-00","ulru",NA,"dead in 2014",NA,NA,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"4168-00","fram",NA,"NF",0.5,0.3,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"5426-00","ruph",NA,"dead in 2015",NA,NA,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"5442-00","fram",NA,"dead in 2012",NA,NA,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
"8/3/2016","Paul Guay, Avery Parmiter",202,"South",FALSE,"5449-00","rusp",NA,"dead in 2012",NA,NA,0,"mivi",100,"None",0,NA,NA,NA,NA,NA,NA,NA,NA
