Census date,Observer Name,Stake,Plot,L (%),I  (%),InvSp,PlotInfo.PlotID,Note,Fence,Tag,SpCode,Height.cm,#leaves,Notes
9/20/2010,"Hu Jing,  Xiaoli",118,East,95,<1,alpe,0118E,,FALSE,4030,beth,6,3,
9/20/2010,"Hu Jing,  Xiaoli",118,East,95,<1,alpe,0118E,,FALSE,4031,fram,25,4,
9/20/2010,"Hu Jing,  Xiaoli",118,East,95,<1,alpe,0118E,,FALSE,4032,fram,7,2,
9/20/2010,"Hu Jing,  Xiaoli",118,East,95,<1,alpe,0118E,,FALSE,4033,fram,8,2,
9/20/2010,"Hu Jing,  Xiaoli",118,East,95,<1,alpe,0118E,,FALSE,4034,fram,11.5,3,
9/20/2010,"Hu Jing,  Xiaoli",118,East,95,<1,alpe,0118E,,FALSE,4035,fram,7,2,
9/20/2010,"Hu Jing,  Xiaoli",118,East,95,<1,alpe,0118E,,FALSE,4036,fram,8,2,
9/20/2010,"Hu Jing,  Xiaoli",118,East,95,<1,alpe,0118E,,FALSE,4037,fram,7.5,2,
9/20/2010,"Hu Jing,  Xiaoli",118,East,95,<1,alpe,0118E,,FALSE,4038,caco,10,2,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4039,fram,7,2,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4040,fram,7,2,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4041,fram,7,2,1 cotyl
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4042,fram,6,2,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4043,fram,6,1,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4044,vitis,7.5,2,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4045,fram,19.5,2,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4046,ruph,100,15,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4047,fram,6.5,2,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4048,fram,9,2,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4049,fram,8,2,
9/20/2010,"Hu Jing,  Xiaoli",118,South,95,<1,alpe,0118S,,FALSE,4050,fram,6.5,2,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4051,fram,15.5,5,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4052,fram,27,6,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4053,fram,7.5,2,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4054,fram,4,3,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4055,fram,5.5,4,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4056,fram,7,4,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4057,fram,8,2,1 cotyl
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4058,fram,22.5,4,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4059,fram,7.5,2,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4060,fram,8.5,4,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4061,fram,8.5,3,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4062,fram,6.5,2,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4063,fram,7.5,4,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4064,fram,7,1,
9/20/2010,"Hu Jing,  Xiaoli",118,West,92,<1,"mivi,alpe",0118W,,FALSE,4065,fram,11,5,
