Census date,Observer Name,Stake,Plot,%L ,%Invas,InvSp,PlotInfo.PlotID,Note,Fence,Tag,2010 Tag,SpCode,Height.cm,#leaves,Notes,,,
7/25/2011,"Alex, Mike",118,East,5,0,,0118East,,FALSE,4031,,fram,25,8,,,,
7/25/2011,"Alex, Mike",118,East,5,0,,0118East,,FALSE,4033,,fram,11.5,4,,,,
7/25/2011,"Alex, Mike",118,East,5,0,,0118East,,FALSE,4034,,fram,12.5,4,,,,
7/25/2011,"Alex, Mike",118,East,5,0,,0118East,,FALSE,4035,,fram,8,2,,,,
7/25/2011,"Alex, Mike",118,East,5,0,,0118East,,FALSE,4036,,fram,13,2,,,,
7/25/2011,"Alex, Mike",118,East,5,0,,0118East,,FALSE,4037,,fram,14.5,4,,,,
7/25/2011,"Alex, Mike",118,East,5,0,,0118East,,FALSE,4038,,caco,12.5,3,,,,
7/25/2011,"Alex, Mike",118,East,5,0,,0118East,,FALSE,1534-00,,paqu,13.5,3,new tag-individual,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,4039,,fram,11,4,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,4040,,fram,9,2,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,4044,,vitis,9.5,3,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,4045,,fram,24,2,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,4046,,ruph,93,50,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,4050,,fram,12,4,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,6762-00,,fram,10.5,4,new tag-individual,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,blank-2011,,fram,7,2,2 cotyl,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,blank-2011,,loja,9,13,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,blank-2011,,paqu,5.5,4,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,blank-2011,,paqu,9,1,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,blank-2011,,paqu,8,3,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,blank-2011,,prse,9.5,2,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,blank-2011,,vitis,7,2,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,blank-2011,,vitis,6.5,4,,,,
7/25/2011,"Alex, Mike",118,South,5,0,,0118South,,FALSE,blank-2011,,vitis,8.5,2,1 cotyl,,,
7/25/2011,"Jenny, Caroline",118,West,5,<5,"mivi, alpe",0118West,,FALSE,4051,,fram,15,6,,,,
7/25/2011,"Jenny, Caroline",118,West,5,<5,"mivi, alpe",0118West,,FALSE,4052,,fram,28.5,8,,,,
7/25/2011,"Jenny, Caroline",118,West,5,<5,"mivi, alpe",0118West,,FALSE,4053,,fram,11,4,,,,
7/25/2011,"Jenny, Caroline",118,West,5,<5,"mivi, alpe",0118West,,FALSE,4054,,fram,6,5,,,,
7/25/2011,"Jenny, Caroline",118,West,5,<5,"mivi, alpe",0118West,,FALSE,4055,,fram,10.5,2,,,,
7/25/2011,"Jenny, Caroline",118,West,5,<5,"mivi, alpe",0118West,,FALSE,4056,,fram,11,6,,,,
