Census date,Observer name,Stake,Plot,Fence,Tag #,SpCode,Height 2012,Notes 2012,Height.cm 2014,Notes 2014,x,y,%L,Invasive1,%invasive1,Invasive2,%invasive2,Invasive3,%invasive3,Invasive4,%invasive4
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,2228-00,ruph,200.0,,130,,0.8,0.3,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,3104-00,acne,8.5,New 2012,36,,0.1,0.1,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,3142-00,paqu,NA,,12,New 2014,0.60,0.30,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,4256-00,libe,25.5,,25,,0.15,0.95,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,5408-00,fram,NA,,25,,0.40,0.40,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,5425-00,fram,NA,,NA,NN,NA,NA,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,6301-00,paqu,NA,,13,New 2014,0.60,0.80,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,,paqu,2.5,New 2012,9,,0.6,0.5,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,,rusp,144.0,,NA,NF,0.6,0.8,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,,paqu,3.0,New 2012,NA,NF,0.8,0.7,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,,libe,5.5,New 2012,NA,NF,0.4,0.8,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,,libe,5.5,New 2012,NA,NF,0.7,0.4,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,,paqu,7.5,New 2012,NA,NF,0.43,0.9,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,,paqu,NA,,NA,NF,NA,NA,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,,paqu,NA,,NA,NF,NA,NA,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,East,FALSE,,ruph,NA,,NA,NF,NA,NA,1,ruph,20,None,0,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,2906-00,libe,NA,,21,New 2014,0.60,0.70,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,3417-00,fram,13.3,2 cotyl,17,,0.3,0.9,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,3861-00,rusp,221.0,,200,,0.68,0.9,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,4100-00,fram,13.5,,25,,0.9,0.2,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,4104-00,ulru,29.0,,NA,"D, TR",NA,NA,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,4168-00,fram,12.0,,20,,0.5,0.3,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,5426-00,ruph,NA,,NA,NN,NA,NA,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,5442-00,fram,NA,"TR, D",NA,dead in 2012,NA,NA,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,5449-00,rusp,NA,"TR, D",NA,dead in 2012,NA,NA,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,6281-00,rusp,302.0,,70,broken,0.28,0.7,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,6469-00,ceoc,NA,,40,New 2014,0.20,0.70,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,880-00,fram,9.5,New 2012,25,,0.3,0.9,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,,fram,13.5,,NA,NF,0.7,0.4,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,,libe,7.5,New 2012,NA,NF,0.4,0.1,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,,fram,NA,,NA,NF,NA,NA,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,,fram,NA,,NA,NF,NA,NA,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,South,FALSE,,paqu,NA,,NA,NF,NA,NA,1,ruph,50, mivi,50,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,1000-00,libe,63.5,same as 721-00 (TR),71,,0.5,0.5,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,1022-00,fram,28.0,,NA,NN,0.3,0.6,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,1187-00,libe,NA,,NA,NN,NA,NA,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,1188-00,fram,NA,,NA,NN,NA,NA,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,1642-00,fram,NA,,42,New 2014,0.20,0.10,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,2103-00,paqu,NA,,12,New 2014,0.90,0.40,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,721-00,libe,NA,"tag removed, same as 1000-00",NA,NA,NA,NA,0,mivi,90, alpe,20,None,0,None,0
