Census date,Observer name,Stake,Plot,Fence,Tag#,SpCode,hgt.2015,hgt.2016,hgt.2017,Notes.2017,hgt.2019,Notes.2019,x,y,%Leaflitter,Invasive1,%invasive1,Invasive2,%invasive2,Invasive3,%invasive3,Invasive4,%invasive4,Invasive5,%invasive5,Invasive6,%invasive6,Additional plot comments
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,1881-00,beth,NA,NA,13.5,New 2017,NA,"D,TR 2019",1,0.6,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,2228-00,ruph,NA,NA,NA,"D,TR 2015",NA,"D,TR 2015",NA,NA,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,3104-00,acne,41.4,50,53,Browsed,NA,"D,TR 2019",0.2,0.1,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,3128-00,ruph,34,89,55,Main stem broken & browsed,31,,0.4,0.6,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,3142-00,paqu,30,14,20,Tag re-attached- main stem dead,NA,"D,TR 2019",0.6,0.3,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,3181-00,libe,19.5,NA,NA,NN,NA,NN,NA,NA,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,3399-00,paqu,NA,18,16,,NA,"D,TR 2019",0.6,0.7,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,3657-00,romu,NA,NA,15,New 2017,22,,0.7,0.4,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,4256-00,libe,NA,NA,NA,NN,NA,NN,0.15,0.95,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,5408-00,fram,23.4,21,23,,24,,0.4,0.4,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,5425-00,fram,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,NA,NA,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,5800-00,libe,NA,48,56,Tag is 5806-00- Browsed,NA,"D, TR but part of big LIBE adult tree in plot",0.3,0,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,6301-00,paqu,23,NA,NA,"D,TR 2016",NA,"D,TR 2016",0.6,0.8,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,paqu,16,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,0.6,0.5,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,rusp,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,0.6,0.8,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,paqu,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,0.8,0.7,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,libe,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,0.4,0.8,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,libe,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,0.7,0.4,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,paqu,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,0.43,0.9,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,paqu,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,NA,NA,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,paqu,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,NA,NA,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,ruph,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,NA,NA,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,ruph,NA,NA,5.5,,NA,NF,0.8,0.9,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,libe,NA,NA,7,,NA,NF,0.8,0.9,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,libe,NA,NA,8,,NA,NF,0.8,0.8,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,libe,NA,NA,4,,NA,NF,0.2,0.7,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,ruph,NA,NA,2.5,,NA,NF,0.9,0.6,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,libe,NA,NA,7.5,,NA,NF,0.5,0.5,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,libe,NA,NA,8,,NA,NF,0.7,0.4,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,East,FALSE,,libe,NA,NA,6.5,,NA,NF,0.6,0.3,1,,,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,2840-00,ruph,69,96,116,Older stems dead,NA,NN,0.3,0.2,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,2906-00,libe,NA,NA,NA,"NF,TR 2017",NA,"NF,TR 2017",0.6,0.7,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,3170-00,fram,19,21,30,,66,,0.8,0.1,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,3417-00,fram,17,NA,NA,NN- since at least 2014,NA,NN,0.3,0.9,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,3861-00,rusp,NA,NA,NA,"D,TR 2015",NA,"D,TR 2015",NA,NA,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,4100-00,fram,27,NA,NA,NN- since at least 2014,NA,NN,0.9,0.2,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,4104-00,ulru,NA,NA,NA,"D,TR 2014",NA,"D,TR 2014",NA,NA,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,4168-00,fram,NA,NA,NA,NN- since at least 2014,NA,NN- since at least 2014,0.5,0.3,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,5205-00,paqu,NA,NA,28,New 2017,NA,"D,TR 2019",0.2,0.8,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,5426-00,ruph,NA,NA,NA,"D,TR 2015",NA,"D,TR 2015",NA,NA,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,5442-00,fram,NA,NA,NA,"D,TR 2012",NA,"D,TR 2012",NA,NA,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,5449-00,rusp,NA,NA,NA,"D,TR 2012",NA,"D,TR 2012",NA,NA,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,5617-00,ruph,NA,27,56,New stem,20,,0.5,0.4,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,5960-00,fram,20,15,23,Possibly #4168-00,NA,"D,TR 2019",0.5,0.4,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,5966-00,ruph,NA,NA,56,New 2017,NA,NN,0.4,0.6,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,6047-00,ruph,NA,90,89,,NA ,"D,TR 2019",0,0.9,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,6281-00,rusp,NA,NA,NA,"D,TR 2015",NA,"D,TR 2015",NA,NA,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,6469-00,ceoc,NA,NA,NA,"D,TR 2015",NA,"D,TR 2015",NA,NA,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,6485-00,ruph,32,NA,NA,"D,TR 2016",NA,"D,TR 2016",NA,NA,1,MIVI,3,,,,,,,,,,,
6/18/2019,"L.McCarthy, C. Bresnan",202,South,FALSE,6722-00,ruph,NA,133,156,,NA,"D,TR 2019",0.1,0.8,1,MIVI,3,,,,,,,,,,,
