Spdode,Latin name,Common name,Plant type
acne,Acer negundo,Boxelder,woody
acru,Acer rubrum,Red Maple,woody
aial,Ailanthus altissima,Tree Of Heaven,woody
alpe,Alliaria petiolata,garlic mustard,herbaceous
amar,Amelanchier arborea,Downy Serviceberry,woody
astr,Asimina triloba,Pawpaw,woody
beth,Berberis thunbergii ,Japanese Barberry,woody
caca,Carpinus caroliniana,American Hornbeam,woody
caco,Carya cordiformis,Bitternut Hickory,woody
cagl,Carya glabra,Pignut Hickory,woody
carya,Carya sp.,Hickory,woody
cato,Carya tomentosa,Mockernut Hickory,woody
ceca,Cercis canadensis ,Eastern Redbud,woody
ceoc,Celtis occidentalis,Hackberry,woody
cofl,Cornus florida,Flowering Dogwood,woody
conifersp,Unknown conifer.,,woody
duin,Duchesnea indica,Indian strawberry,herbaceous
fagr,Fagus grandifolia,American Beech,woody
fram,Fraxinus americana,White Ash,woody
gamo,Galium molugo,Smooth Bedstraw,herbaceous
havi,Hamamelis virginiana,American Witchhazel,woody
libe,Lindera benzoin,Spicebush,woody
litu,Liriodendron tulipifera,Tulip Poplar,woody
loja,Lonicera japonica,Japanese Honeysuckle,woody
mivi,Microstegium vimineum ,Japanese stiltgrass,herbaceous
nysy,Nyssa sylvatica,Black Gum,woody
ophi,Oplismenus undulatifolius,Wavyleaf basquet grass-highly invasive!,herbaceous
pepe,Persicaria perfoliata,mile-a-minute,herbaceous
pist,Pinus strobus,White Pine,woody
prav,Prunus avium,Sweet Cherry,woody
prse,Prunus serotina,Wild Black Cherry,woody
prsp,Prunus sp.,Cherry,woody
qual,Quercus alba,White Oak,woody
qupr,Quercus prinus,Chestnut Oak,woody
quru,Quercus rubra,Northern Red Oak,woody
qusp,Quercus sp.,Oak,woody
quve,Quercus velutina,Black Oak,woody
romu,Rosa multiflora,Multiflora Rose,woody
rops,Robinia pseudoacacia,Black Locust,woody
rual,Rubus allegheniensis ,Allegheny Blackberry,woody
ruoc,Rubus occidentalis ,Black Raspberry,woody
ruph,Rubus phoenicolasius,Wineberry,woody
rusp,Rubus sp.,Blackberry,woody
saal,Sassafras albidum ,Sassafras,woody
smro,Smilax rotundifolia,Common Greenbrier,woody
smsp,Smilax sp.,,woody
soha,Sorghum halepense,Johnson Grass,herbaceous
stme,Stellaria media,common chickweed,herbaceous
syor,Symphoricarpos orbiculatus ,Coralberry,woody
tora,Toxicodendron radicans,poison ivy,woody
ulru,Ulmus rubra,Slippery Elm,woody
unk,Unknown species,,woody
vipr,Viburnum prunifolium,Black Haw,woody
visp,Viburnum sp.,,woody
vitis,Vitis sp.,,woody
