"tag","stem","spcode","quadrat","lx","ly","DBH_mm","codes","hom","date","D.code","Change.2012","UTM.X","UTM.Y"
10001,2,"ulsp",101,6.1,1,116.8,"S;G",1.3,"10/21/2008","","",747389.678157429,4308505.03790722
10001,1,"ulsp",101,6.1,1,188.3,"M;main;D;G",1.3,"10/21/2008","lost stem","",747389.678157429,4308505.03790722
10003,1,"libe",101,7.4,2.4,11.6,"",1.3,"10/21/2008","","",747390.936672492,4308506.47531455
10004,1,"libe",101,9.8,5.8,22.6,"",1.3,"10/21/2008","","",747393.236246992,4308509.94402571
10005,1,"acne",101,7.2,6,14.1,"",1.3,"10/21/2008","","",747390.631511297,4308510.06792873
10006,1,"juni",101,7.2,6.5,599.9,"",1.3,"10/21/2008","","",747390.616893702,4308510.56771501
10007,1,"unk",101,7.4,9.4,178.9,"D;Q",1.3,"10/21/2008","dead tree","",747390.732026164,4308513.47232247
10009,1,"caco",101,3.6,10.8,202.3,"I",1.3,"10/21/2008","","",747386.892721168,4308514.76063034
10010,1,"juni",101,7.3,12.2,541.9,"",1.3,"10/21/2008","","",747390.550210376,4308516.26820212
10011,1,"ulru",101,7.9,18.1,203.1,"D",1.3,"10/21/2008","dead tree","",747390.977466293,4308522.18322134
10013,1,"fram",102,15.6,4.5,194.6,"",1.3,"10/21/2008","","",747399.07177359,4308508.81414548
10015,1,"libe",102,15.6,5.1,12.6,"",1.3,"10/21/2008","","",747399.054232476,4308509.41388902
10016,1,"ceoc",102,15.6,5.2,205.9,"",1.3,"10/21/2008","","",747399.051308957,4308509.51384628
10017,3,"ruph",102,15.6,3.9,10.1,"S",1.3,"10/21/2008","","",747399.089314703,4308508.21440195
10017,2,"ruph",102,15.6,3.9,10.2,"S",1.3,"10/21/2008","","",747399.089314703,4308508.21440195
10017,1,"ruph",102,15.6,3.9,11.9,"M;main",1.3,"10/21/2008","","",747399.089314703,4308508.21440195
10018,3,"libe",102,15.6,5.1,10.9,"S",1.3,"10/21/2008","","",747399.054232476,4308509.41388902
10018,2,"libe",102,15.6,5.1,11.1,"S",1.3,"10/21/2008","","",747399.054232476,4308509.41388902
10018,1,"libe",102,15.6,5.1,11.8,"M;main",1.3,"10/21/2008","","",747399.054232476,4308509.41388902
10019,1,"ulru",102,15.6,7.2,137.2,"D",1.3,"10/21/2008","dead tree","",747398.992838577,4308511.5129914
10020,1,"ulru",102,15.6,7.8,13.4,"",1.3,"10/21/2008","","",747398.975297463,4308512.11273493
10021,1,"fram",102,15.6,10.7,120.1,"",1.3,"10/21/2008","","",747398.890515413,4308515.01149536
10022,7,"romu",102,15.6,10.7,11.2,"S",1.3,"10/21/2008","","",747398.890515413,4308515.01149536
10022,6,"romu",102,15.6,10.7,11.3,"S",1.3,"10/21/2008","","",747398.890515413,4308515.01149536
10022,5,"romu",102,15.6,10.7,11.8,"S",1.3,"10/21/2008","","",747398.890515413,4308515.01149536
10022,4,"romu",102,15.6,10.7,11.9,"S",1.3,"10/21/2008","","",747398.890515413,4308515.01149536
10022,3,"romu",102,15.6,10.7,12.1,"S",1.3,"10/21/2008","","",747398.890515413,4308515.01149536
10022,2,"romu",102,15.6,10.7,13.5,"S",1.3,"10/21/2008","","",747398.890515413,4308515.01149536
10022,1,"romu",102,15.6,10.7,16.3,"M;main",1.3,"10/21/2008","","",747398.890515413,4308515.01149536
10023,1,"romu",102,15.6,16.2,11.1,"",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10024,1,"romu",102,15.6,16.2,12.4,"",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,10,"romu",102,15.6,16.2,10.3,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,8,"romu",102,15.6,16.2,10.6,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,9,"romu",102,15.6,16.2,10.6,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,7,"romu",102,15.6,16.2,11,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,6,"romu",102,15.6,16.2,11.9,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,5,"romu",102,15.6,16.2,13.2,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,2,"romu",102,15.6,16.2,16.9,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,3,"romu",102,15.6,16.2,16.9,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,4,"romu",102,15.6,16.2,16.9,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10025,1,"romu",102,15.6,16.2,25.3,"M;main",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10026,2,"romu",102,15.6,16.2,11.9,"S",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10026,1,"romu",102,15.6,16.2,13.3,"M;main",1.3,"10/21/2008","","",747398.729721869,4308520.50914444
10029,6,"romu",103,5.2,5.2,11.1,"S",1.3,"10/21/2008","","",747388.655754328,4308509.2098003
10029,5,"romu",103,5.2,5.2,11.4,"S",1.3,"10/21/2008","","",747388.655754328,4308509.2098003
10029,4,"romu",103,5.2,5.2,11.8,"S;A",1.2,"10/21/2008","","",747388.655754328,4308509.2098003
10029,3,"romu",103,5.2,5.2,12.1,"S",1.3,"10/21/2008","","",747388.655754328,4308509.2098003
10029,2,"romu",103,5.2,5.2,12.8,"S",1.3,"10/21/2008","","",747388.655754328,4308509.2098003
10029,1,"romu",103,5.2,5.2,14,"M;main",1.3,"10/21/2008","","",747388.655754328,4308509.2098003
10030,1,"libe",103,4.4,6.2,15.6,"",1.3,"10/21/2008","","",747387.82686109,4308510.18598471
10031,1,"romu",103,4.1,8.2,12.4,"",1.3,"10/21/2008","","",747387.468518942,4308512.17635927
10032,3,"libe",103,1.9,10.9,11.6,"S",1.3,"10/21/2008","","",747385.190524296,4308514.81088777
10032,2,"libe",103,1.9,10.9,12.2,"S",1.3,"10/21/2008","","",747385.190524296,4308514.81088777
10032,1,"libe",103,1.9,10.9,15.9,"M;main",1.3,"10/21/2008","","",747385.190524296,4308514.81088777
10033,1,"libe",103,1.3,12.8,27.5,"",1.3,"10/21/2008","","",747384.5352339,4308516.69253452
10034,1,"libe",103,1.2,14,13.6,"",1.3,"10/21/2008","","",747384.400194416,4308517.88909808
10035,1,"acru",103,4.8,10.1,450.1,"",1.3,"10/21/2008","","",747388.112672874,4308514.09601177
10036,1,"acru",103,6.2,9.5,425,"",1.3,"10/21/2008","","",747389.529615572,4308513.5371975
10037,1,"acru",103,8.1,13.6,378.5,"I",1.3,"10/21/2008","","",747391.308939159,4308517.69099186
10039,1,"libe",103,8.1,14.1,55,"D",1.3,"10/21/2008","dead tree","",747391.294321564,4308518.19077814
10040,2,"libe",103,1.6,17.5,10.1,"S",1.3,"10/21/2008","","",747384.697700276,4308521.39929611
10040,1,"libe",103,1.6,17.5,12.1,"M;main",1.3,"10/21/2008","","",747384.697700276,4308521.39929611
10041,1,"libe",103,1.1,18.3,18.9,"",1.3,"10/21/2008","","",747384.174525844,4308522.18433657
10042,1,"libe",103,0.8,19,20,"",1.3,"10/21/2008","","",747383.854189443,4308522.8752668
10043,2,"libe",103,0.9,19.1,12.3,"S",1.3,"10/21/2008","","",747383.95122318,4308522.97814758
10043,1,"libe",103,0.9,19.1,18.5,"M;main",1.3,"10/21/2008","","",747383.95122318,4308522.97814758
10044,1,"libe",103,0.8,19.6,13.1,"",1.3,"10/21/2008","","",747383.836648329,4308523.47501034
10045,1,"cato",104,0.6,1.2,171.8,"A",1.2,"10/21/2008","","",747384.174661309,4308505.07702819
10047,1,"libe",104,3.3,3.2,17.8,"",1.3,"10/21/2008","","",747386.815036842,4308507.15510832
10048,1,"libe",104,0.7,3.4,28.4,"",1.3,"10/21/2008","","",747384.210301147,4308507.27901134
10049,1,"libe",104,0.9,3.8,14.9,"",1.3,"10/21/2008","","",747384.398521583,4308507.6846874
10050,1,"libe",104,0.5,3.8,18,"",1.3,"10/21/2008","","",747383.998692559,4308507.67299332
10051,1,"libe",104,0,4,19.9,"",1.3,"10/21/2008","","",747383.493059241,4308507.85829024
10052,1,"libe",104,0.3,4.4,12.2,"",1.3,"10/21/2008","","",747383.781236933,4308508.26688982
10053,1,"acru",104,4.8,1.2,164.2,"",1.3,"10/21/2008","","",747388.372866063,4308505.19981598
10055,2,"astr",104,8.8,9.3,13.7,"S",1.3,"10/21/2008","","",747392.134351267,4308513.41329448
10055,1,"astr",104,8.8,9.3,21.7,"M;main",1.3,"10/21/2008","","",747392.134351267,4308513.41329448
10056,1,"astr",104,8.5,9.6,19.5,"",1.3,"10/21/2008","","",747391.825708942,4308513.70439569
10057,1,"fram",104,8.2,9.7,184.8,"",1.3,"10/21/2008","","",747391.522913655,4308513.79558239
10058,2,"astr",104,9.3,10,57.3,"S",1.3,"10/21/2008","","",747392.613672915,4308514.12761287
10058,1,"astr",104,9.3,10,64.6,"M;main",1.3,"10/21/2008","","",747392.613672915,4308514.12761287
10059,2,"romu",104,8.7,9.4,11.5,"S",1.3,"10/21/2008","","",747392.031470492,4308513.51032822
10059,1,"romu",104,8.7,9.4,13.6,"M;main",1.3,"10/21/2008","","",747392.031470492,4308513.51032822
10060,1,"astr",104,8.5,8.5,10.7,"",1.3,"10/21/2008","","",747391.857867651,4308512.60486588
10062,1,"astr",104,8.9,10.2,18.3,"",1.3,"10/21/2008","","",747392.207996853,4308514.31583331
10063,3,"libe",104,4.9,9.6,10.1,"S",1.3,"10/21/2008","","",747388.227247725,4308513.59914901
10063,2,"libe",104,4.9,9.6,18.8,"S",1.3,"10/21/2008","","",747388.227247725,4308513.59914901
10063,1,"libe",104,4.9,9.6,22.1,"M;main",1.3,"10/21/2008","","",747388.227247725,4308513.59914901
10064,7,"libe",104,5.2,10.5,10.1,"S",1.3,"10/21/2008","","",747388.500807822,4308514.50753487
10064,6,"libe",104,5.2,10.5,10.2,"S",1.3,"10/21/2008","","",747388.500807822,4308514.50753487
10064,5,"libe",104,5.2,10.5,10.7,"S",1.3,"10/21/2008","","",747388.500807822,4308514.50753487
10064,4,"libe",104,5.2,10.5,14.9,"S",1.3,"10/21/2008","","",747388.500807822,4308514.50753487
10064,3,"libe",104,5.2,10.5,19.2,"S",1.3,"10/21/2008","","",747388.500807822,4308514.50753487
10064,2,"libe",104,5.2,10.5,22.5,"S",1.3,"10/21/2008","","",747388.500807822,4308514.50753487
10064,1,"libe",104,5.2,10.5,27.9,"M;main",1.3,"10/21/2008","","",747388.500807822,4308514.50753487
10065,7,"libe",104,6.2,10.8,11.4,"S",1.3,"10/21/2008","","",747389.491609826,4308514.83664183
10065,6,"libe",104,6.2,10.8,14.3,"S",1.3,"10/21/2008","","",747389.491609826,4308514.83664183
10065,5,"libe",104,6.2,10.8,16.1,"S",1.3,"10/21/2008","","",747389.491609826,4308514.83664183
10065,4,"libe",104,6.2,10.8,19.1,"S",1.3,"10/21/2008","","",747389.491609826,4308514.83664183
10065,3,"libe",104,6.2,10.8,23.1,"S",1.3,"10/21/2008","","",747389.491609826,4308514.83664183
10065,2,"libe",104,6.2,10.8,25,"S",1.3,"10/21/2008","","",747389.491609826,4308514.83664183
10065,1,"libe",104,6.2,10.8,27.3,"M;main",1.3,"10/21/2008","","",747389.491609826,4308514.83664183
10066,1,"libe",104,3.9,10.8,16.4,"",1.3,"10/21/2008","","",747387.192592936,4308514.76940089
10067,2,"libe",104,3.9,10.5,10.9,"S",1.3,"10/21/2008","","",747387.201363493,4308514.46952913
10067,1,"libe",104,3.9,10.5,13.9,"M;main",1.3,"10/21/2008","","",747387.201363493,4308514.46952913
10068,1,"libe",104,4.1,10.1,13.1,"",1.3,"10/21/2008","","",747387.412972081,4308514.07554714
10069,1,"libe",104,4.1,10.1,10.9,"",1.3,"10/21/2008","","",747387.412972081,4308514.07554714
10070,3,"romu",104,6,13.1,11.8,"S",1.3,"10/21/2008","","",747389.224454377,4308517.12981168
10070,2,"romu",104,6,13.1,18.2,"S",1.3,"10/21/2008","","",747389.224454377,4308517.12981168
10070,1,"romu",104,6,13.1,19.4,"M;main;D",1.3,"10/21/2008","lost stem","",747389.224454377,4308517.12981168
10071,3,"libe",104,4,11.1,10.7,"S",1.3,"10/21/2008","","",747387.283779636,4308515.07219618
10071,2,"libe",104,4,11.1,15.9,"S",1.3,"10/21/2008","","",747387.283779636,4308515.07219618
10071,1,"libe",104,4,11.1,25.2,"M;main",1.3,"10/21/2008","","",747387.283779636,4308515.07219618
10072,3,"libe",104,4.2,12.5,13.9,"S",1.3,"10/21/2008","","",747387.442764882,4308516.4774448
10072,2,"libe",104,4.2,12.5,21.2,"S",1.3,"10/21/2008","","",747387.442764882,4308516.4774448
10072,1,"libe",104,4.2,12.5,39,"M;main",1.3,"10/21/2008","","",747387.442764882,4308516.4774448
10073,1,"libe",104,4.2,12.5,32.9,"",1.3,"10/21/2008","","",747387.442764882,4308516.4774448
10074,3,"libe",104,3.2,11.3,14.8,"S",1.3,"10/21/2008","","",747386.478274549,4308515.24872254
10074,2,"libe",104,3.2,11.3,16.1,"S",1.3,"10/21/2008","","",747386.478274549,4308515.24872254
10074,1,"libe",104,3.2,11.3,21.9,"M;main",1.3,"10/21/2008","","",747386.478274549,4308515.24872254
10075,1,"libe",104,5.4,11.5,29.2,"",1.3,"10/21/2008","","",747388.671487144,4308515.51295447
10076,3,"libe",104,4,11.7,11.3,"S",1.3,"10/21/2008","","",747387.266238522,4308515.67193972
10076,2,"libe",104,4,11.7,15.3,"S",1.3,"10/21/2008","","",747387.266238522,4308515.67193972
10076,1,"libe",104,4,11.7,17.6,"M;main",1.3,"10/21/2008","","",747387.266238522,4308515.67193972
10077,1,"libe",104,3.6,12.9,11.6,"",1.3,"10/21/2008","","",747386.83132727,4308516.85973271
10078,1,"acne",104,3.5,13.5,11.1,"",1.3,"10/21/2008","","",747386.7138289,4308517.45655273
10079,2,"libe",104,3.7,13,16,"S",1.3,"10/21/2008","","",747386.928361007,4308516.96261349
10079,1,"libe",104,3.7,13,27.9,"M;main",1.3,"10/21/2008","","",747386.928361007,4308516.96261349
10080,1,"prse",104,3.7,13.4,30.2,"",1.3,"10/21/2008","","",747386.916666931,4308517.36244251
10081,1,"libe",104,3.3,14.9,29.2,"",1.3,"10/21/2008","","",747386.472985122,4308518.85010728
10082,2,"libe",104,3.5,15.4,13.8,"S",1.3,"10/21/2008","","",747386.658282039,4308519.3557406
10082,1,"libe",104,3.5,15.4,14.1,"M;main",1.3,"10/21/2008","","",747386.658282039,4308519.3557406
10083,6,"libe",104,2.8,16.7,12.6,"S",1.3,"10/21/2008","","",747385.9205755,4308520.63472029
10083,5,"libe",104,2.8,16.7,15.1,"S",1.3,"10/21/2008","","",747385.9205755,4308520.63472029
10083,4,"libe",104,2.8,16.7,15.9,"S",1.3,"10/21/2008","","",747385.9205755,4308520.63472029
10083,3,"libe",104,2.8,16.7,16.2,"S",1.3,"10/21/2008","","",747385.9205755,4308520.63472029
10083,2,"libe",104,2.8,16.7,17.3,"S",1.3,"10/21/2008","","",747385.9205755,4308520.63472029
10083,1,"libe",104,2.8,16.7,18.1,"M;main",1.3,"10/21/2008","","",747385.9205755,4308520.63472029
10084,1,"libe",104,3.9,15.8,22.6,"",1.3,"10/21/2008","","",747387.046416988,4308519.7672637
10085,1,"romu",104,3.4,19.4,12.9,"",1.3,"10/21/2008","","",747386.441384024,4308523.35110732
