"sp","idividual","ind_ID","leaf_area_dry_cm2","leaf_area_fresh_cm2","LA_cm2","PLA_dry_percent","sum_dry_mass_leaf_blade_g","LMA_g_per_m2","mean_LT_mm","LD_g_per_cm3","sum_fresh_mass_leaf_blade_g","WMA_g_per_m2","mean_SPAD","Chl_m2_per_g","mean_TLP_Mpa","WD_g_per_cm3"
"caco",1,"caco_1",758.8603999,895.4054399,298.468479966667,15.2495209338073,3.56,39.7585254831329,0.137777777777778,0.288569943022739,7.39,42.773919269775,32.756,0.823873612060798,-2.18268,0.914979757
"caco",2,"caco_2",1053.3026714,1311.3463331,437.115444366667,19.677765910245,8.34,63.5987594542197,0.197777777777778,0.321566761285381,17.49,69.7756173868238,38.773,0.609650256274416,-2.12132,0.714723926
"caco",3,"caco_3",1469.0902162,1764.2071474,588.069049133333,16.7280203821262,6.04,34.2363424210215,0.132222222222222,0.258930320831255,14.25,46.5364853106932,29.632,0.865513016419814,-2.09324,0.868462758
"cagl",1,"cagl_1",517.349146,611.7248826,203.9082942,15.4278073827694,2.67,43.6470720081184,0.116666666666667,0.374117760069587,5.22,41.6854058504502,31.876,0.73031244785609,-2.70268,0.593220339
"cagl",2,"cagl_2",639.3048989,868.1327912,289.377597066667,26.3586279218524,3.72,42.8505873491765,0.146666666666667,0.292163095562567,9.99,72.2239738385314,36.562,0.85324384709286,-1.90292,0.595744681
"cagl",3,"cagl_3",975.3498375,1242.2763973,414.092132433333,21.4868897437113,5.19,41.7781422176264,0.152222222222222,0.274454948874919,12.92,62.2244777152702,33.867,0.810639205151428,-1.77916,0.663316583
"caovl",1,"caovl_1",627.7147592,804.62212171,268.207373903333,21.9863905971206,4.19,52.0741337697169,0.148888888888889,0.349751644721979,8.2,49.837058810636,28.598,0.549178602306983,-2.45412,1.091254753
"caovl",2,"caovl_2",1447.6621736,1653.1492478,551.049749266667,12.4300376674073,7.63,46.1543324666781,0.144444444444444,0.319529994000079,15.11,45.2469733749347,29.291,0.634631646360548,-2.47492,0.593869732
"caovl",3,"caovl_3",1314.3954562,1460.1676134,486.7225378,9.98324821494771,6.51,44.5839226966654,0.13,0.342953251512811,12.75,42.7348199120111,30.974,0.694734741281899,-2.52276,1.205479452
"cato",3,"cato_3",1543.4239005,1849.72309,616.574363333333,16.559191543638,8.39,45.3581406068732,0.205555555555556,0.220661224573978,22.33,75.362631711539,34.769,0.766543767773659,-2.19516,0.827586207
