"Column","Field","Description","Storage.Type","Variable.Codes","Units","Populated.by","n_Panama","Min_Panama","Max_Panama","n_Pasoh","Min_Pasoh","Max_Pasoh","n_SCBI","Min_SCBI","Max_SCBI"
"1 / A","sp","","character","","","",56,"-","-",68,"-","-",12,"-","-"
"10 / J","dry_mass_petiole_g","","double","","","",489,"0","2.31",591,"0","11.63",108,"0","0.91"
"11 / K","thickness_top_mm","","double","","","",498,"0.04","5.77",591,"0.03","0.31",108,"0.05","0.28"
"12 / L","thickness_middle_mm","","double","","","",498,"0.04","15",591,"0.03","0.33",108,"0.06","0.29"
"13 / M","thickness_bottom_mm","","double","","","",498,"0.04","18",591,"0.04","0.4",108,"0.06","0.27"
"14 / N","petiole_diameter_x_top_mm","","double","","","",484,"0.16","11.39",591,"0.57","14.36",105,"0.72","3.9"
"15 / O","petiole_diameter_x_middle_mm","","double","","","",484,"0.18","249",591,"0.57","10.6",108,"0.82","10.7"
"16 / P","petiole_diameter_x_bottom_mm","","double","","","",484,"0.42","64.59",591,"0.57","23.03",105,"0.42","4.84"
"17 / Q","petiole_diameter_y_top_mm","","double","","","",484,"0.19","8.6",591,"0.52","11.29",105,"0.63","3.81"
"18 / R","petiole_diameter_y_middle_mm","","double","","","",484,"0.43","11.14",591,"0.52","9.78",108,"0.65","3.34"
"19 / S","petiole_diameter_y_bottom_mm","","double","","","",484,"0.33","15.32",591,"0.52","18.33",105,"0.46","4.3"
"2 / B","individual","","integer","","","",501,"1","3",591,"1","3",108,"1","3"
"20 / T","petiole_length_mm","","double","","","",484,"0.01","383",591,"0.7","740",108,"1.03","125.61"
"21 / U","rachis_length_mm","","double","","","",134,"0","1300",90,"30","980",54,"74","542"
"22 / V","rachis_fresh_mass_g","","double","","","",126,"0.1","9.91",90,"0.05","27.55",54,"0.09","3.29"
"23 / W","rachis_dry_mass_g","","double","","","",126,"0.02","12.4",90,"0.02","9.34",48,"0.03","1.7"
"24 / X","petiole_plus_rachis_length_mm","","double","","","",9,"0.02","0.42",0,"Inf","-Inf",0,"Inf","-Inf"
"25 / Y","SPAD_top_AP","","integer","","","",495,"30","100",591,"40","100",108,"25","76"
"26 / Z","SPAD_top_C","","double","","","",495,"30.2","70.9",591,"35.3","72.2",108,"4.5","53.3"
"27 / NA","SPAD_top_SPAD","","double","","","",501,"-10.1","60.09",591,"24.85","61.38",108,"-5.64","42.67"
"28 / NA","SPAD_middle_AP","","integer","","","",495,"30","100",591,"46","100",108,"30","80"
"29 / NA","SPAD_middle_C","","double","","","",495,"30.3","74.4",591,"38.3","70.9",108,"30.1","55.3"
"3 / C","ind_ID","","character","","","",167,"-","-",197,"-","-",36,"-","-"
"30 / NA","SPAD_middle_SPAD","","double","","","",501,"-10.1","63.56",591,"27.82","60.09",108,"19.7","44.65"
"31 / NA","SPAD_Bottom_AP","","integer","","","",495,"34","100",591,"39","100",108,"5","83"
"32 / NA","SPAD_bottom_C","","double","","","",495,"32.2","75.9",591,"34.6","73",108,"24.2","56.7"
"33 / NA","SPAD_bottom_SPAD","","double","","","",501,"-10.1","65.04",591,"24.15","62.17",108,"13.86","46.03"
"34 / NA","n_leaflets","","integer","","","",96,"4","26",90,"2","47",54,"5","22"
"35 / NA","SWC","","double","","","",498,"-0.36","Inf",591,"0.5","39",108,"0.5","42.27"
"36 / NA","LT_mm","","double","","","",498,"0.04","7.17",591,"0.04","0.32",108,"0.06","0.25"
"37 / NA","LDMC","","double","","","",498,"0","1.57",591,"0.02","0.67",108,"0.02","0.67"
"38 / NA","SPAD","","double","","","",501,"-10.1","62.07",591,"28.25","58.97",108,"19.6","43.76"
"4 / D","L_M_S","","character","","","",3,"-","-",3,"-","-",3,"-","-"
"5 / E","suspicious_measurement","","integer","","","",501,"0","0",591,"0","0",108,"0","0"
"6 / F","notes","","character","","","",29,"-","-",44,"-","-",2,"-","-"
"7 / G","fresh_mass_leaf_blade_g","","double","","","",498,"0.05","65.1",591,"0.03","76.5",108,"0.06","10.31"
"8 / H","dry_mass_leaf_blade_g","","double","","","",498,"0","18.87",591,"0","29.79",108,"0.02","5.48"
"9 / I","fresh_mass_petiole_g","","double","","","",487,"0","38.9",591,"0","46.7",108,"0","0.38"
