slice,estimated_proportion_of_leaf_tissue,area_cm2,suspicious_measurement
CACO_1_l.jpg,0.536361367,344.1356859,0
CACO_1_m.jpg,0.460822406,295.6690103,0
CACO_1_s.jpg,0.398372997,255.6007437,0
CACO_2_l_1.jpg,0.34157965,219.1614728,0
CACO_2_l_2.jpg,0.529730587,339.8812998,0
CACO_2_m_1.jpg,0.47453254,304.4655918,0
CACO_2_m_2.jpg,0.309177864,198.3721103,0
CACO_2_s.jpg,0.388811316,249.4658584,0
caco3_L_1.jpg,0.462839462,296.9631769,0
caco3_L_2.jpg,0.459399988,294.7563704,0
caco3_M_1.jpg,0.57534344,369.1470363,0
caco3_M_2.jpg,0.184391017,118.307419,0
caco3_S_1.jpg,0.440161276,282.4125894,0
caco3_S_2.jpg,0.627514438,402.6205554,0
CAGL_1_l266.jpg,0.460690869,295.584615,0
CAGL_1_m.jpg,0.297407048,190.8198176,0
CAGL_1_s.jpg,0.195321353,125.32045,0
CAGL_2_l.jpg,0.619182046,397.2743958,0
CAGL_2_m.jpg,0.38545208,247.3105337,0
CAGL_2_s.jpg,0.348416168,223.5478617,0
CAGL_3_l.jpg,0.549680266,352.6812456,0
CAGL_3_l_2.jpg,0.372413119,238.9445843,0
CAGL_3_m.jpg,0.552095138,354.2306558,0
CAGL_3_s.jpg,0.461992742,296.4199116,0
CAOVL_1_l_1.jpg,0.473473504,303.7861018,0
CAOVL_1_l_2.jpg,0.108453402,69.58496321,0
CAOVL_1_m.jpg,0.445945308,286.1236914,0
CAOVL_1_s.jpg,0.226191922,145.1273653,0
CAOVL_2_l_1.jpg,0.59369435,380.9211937,0
CAOVL_2_l_2.jpg,0.532745804,341.8158986,0
CAOVL_2_l_3.jpg,0.286010604,183.5077269,0
CAOVL_2_m_1.jpg,0.435881091,279.666373,0
CAOVL_2_m_2.jpg,0.39077087,250.7231312,0
CAOVL_2_s.jpg,0.337454805,216.5149244,0
CAOVL_3_l_1.jpg,0.551747747,354.0077658,0
CAOVL_3_l_2.jpg,0.561147537,360.03878,0
CAOVL_3_m.jpg,0.620703146,398.2503511,0
CAOVL_3_s.jpg,0.542182694,347.8707165,0
CATO_1_l.jpg,0.159661513,102.4406821,1
CATO_1_m.jpg,0.069555744,44.62777386,1
CATO_1_s.jpg,0.028195996,18.09087861,1
CATO_2_l.jpg,0.168882548,108.3570053,1
CATO_2_m.jpg,0.095626922,61.35534463,1
CATO_2_s.jpg,0.046661675,29.93867291,1
CATO_3_l_1.jpg,0.51959217,333.3763739,0
CATO_3_l_2.jpg,0.426251956,273.4882081,0
CATO_3_l_3.jpg,0.292627894,187.753457,0
CATO_3_m_1.jpg,0.540540176,346.8168579,0
CATO_3_m_2.jpg,0.488816038,313.63005,0
CATO_3_s_1.jpg,0.366332092,235.0429271,0
CATO_3_s_2.jpg,0.248772327,159.615216,0
FAGR_1_l.jpg,0.084308051,54.09302542,0
FAGR_1_m.jpg,0.0618693,39.69606186,0
FAGR_1_s.jpg,0.022367924,14.35151997,0
FAGR_2_l.jpg,0.107171766,68.76265055,0
FAGR_2_m.jpg,0.083319842,53.45897908,0
FAGR_2_s.jpg,0.050310965,32.28010002,0
FAGR_3_l.jpg,0.093387432,59.91846145,0
FAGR_3_m.jpg,0.073859344,47.38901323,0
FAGR_3_s.jpg,0.047808402,30.67442634,0
FRAM_1_l.jpg,0.410143813,263.1530363,0
FRAM_1_m.jpg,0.283760995,182.0643518,0
FRAM_1_s.jpg,0.274367951,176.0376655,0
FRAM_2_l.jpg,0.372598619,239.0636032,0
FRAM_2_m.jpg,0.330456397,212.0246645,0
FRAM_2_s.jpg,0.409600804,262.8046354,0
FRAM_3_l_1.jpg,0.499686336,320.6045598,0
FRAM_3_l_2.jpg,0.324840807,208.4216366,0
FRAM_3_m.jpg,0.535852086,343.8089248,0
FRAM_3_s.jpg,0.489608629,314.1385855,0
JUNI_1_l_1.jpg,0.45323377,290.8000537,0
JUNI_1_l_2.jpg,0.14685527,94.2240474,0
JUNI_1_m_1.jpg,0.37983649,243.7075058,0
JUNI_1_m_2.jpg,0.236124602,151.5002884,0
JUNI_1_s.jpg,0.10674343,68.487825,0
JUNI_2_l_1.jpg,0.364062247,233.5865681,0
JUNI_2_l_2.jpg,0.455544088,292.2823805,0
JUNI_2_l_3.jpg,0.314682154,201.9037268,0
JUNI_2_m_1.jpg,0.395317306,253.6401772,0
JUNI_2_m_2.jpg,0.436798473,280.2549758,0
JUNI_2_s.jpg,0.426902892,273.9058564,0
JUNI_3_l_1.jpg,0.370433328,237.6743276,0
JUNI_3_l_2.jpg,0.27085357,173.7827976,0
JUNI_3_m.jpg,0.340557714,218.5057866,0
JUNI_3_s.jpg,0.28450974,182.5447555,0
LITU_1_l.jpg,0.196039744,125.7813779,0
LITU_1_m.jpg,0.13146889,84.35196747,0
LITU_1_s.jpg,0.054203092,34.77733374,0
LITU_2_l.jpg,0.259379553,166.4209353,0
LITU_2_m.jpg,0.165823485,106.3942748,0
LITU_2_s.jpg,0.076604743,49.15049351,0
LITU_3_l.jpg,0.203061761,130.2867857,0
LITU_3_m.jpg,0.113613674,72.89585368,0
LITU_3_s.jpg,0.029558578,18.96512681,0
QUAL_1_l.jpg,0.114433247,73.42170098,0
QUAL_1_m.jpg,0.085562706,54.89802624,0
QUAL_1_s.jpg,0.023325778,14.96609048,0
QUAL_2_l.jpg,0.178019265,114.219229,0
QUAL_2_m.jpg,0.074790216,47.9862719,0
QUAL_2_s.jpg,0.021899115,14.05072665,0
QUAL_3_l.jpg,0.118369219,75.94706645,0
QUAL_3_m.jpg,0.092149641,59.12428054,0
QUAL_3_s.jpg,0.046995575,30.152907,0
QUPR_1_l.jpg,0.055346446,35.5109232,0
QUPR_1_m.jpg,0.048108575,30.86702063,0
QUPR_1_s.jpg,0.052216556,33.50274911,0
QUPR_2_l.jpg,0.187287518,120.165848,0
QUPR_2_m.jpg,0.080075279,51.37722965,0
QUPR_2_s.jpg,0.061393746,39.39094058,0
qupr3_SML.jpg,0.227902395,146.2248247,0
QURU_1_l.jpg,0.264647752,169.8010732,0
QURU_1_m.jpg,0.188410636,120.8864535,0
QURU_1_s.jpg,0.120912255,77.5787079,0
QURU_2_l.jpg,0.191628218,122.9508911,0
QURU_2_m.jpg,0.118912228,76.29546735,0
QURU_2_s.jpg,0.089357023,57.33250452,0
QURU_3_l.jpg,0.288054476,184.8190992,0
QURU_3_m.jpg,0.208903324,134.0348002,0
QURU_3_s.jpg,0.096062004,61.63449814,0
quve1_L.jpg,0.382025363,245.1119119,0
quve1_SM.jpg,0.247110639,158.5490572,0
quve2_L.jpg,0.425252375,272.8468651,0
quve2_SM.jpg,0.288049182,184.8157022,0
quve3_L.jpg,0.347928529,223.2349874,0
quve3_SM.jpg,0.30220993,193.9014026,0
