species.code,core.id,date.cored
ACRC,92559,7/8/10
CAOV,100963,6/3/10
CAOV,131091,6/7/10
CAOV,80554,6/3/10
CAOV,32481,7/2/10
CAOV,162116,8/2/10
CAOV,111212,6/4/10
CAOV,60172,6/16/10
CAOV,50442,6/16/10
CAOV,111081,6/4/10
CAOV,122272,7/9/10
CAOV,50356,6/16/10
CAOV,80640A,6/3/10
CAOV,70162,6/15/10
CAOV,111189,6/4/10
CAOV,111190A,6/4/10
CAOV,122489B,7/8/10
CAOV,60124,6/15/10
CAOV,91302,6/14/10
CAOV,91385,6/16/10
CAOV,122476,7/8/10
CAOV,91332,6/14/10
CAOV,50246,6/15/10
FAGR,10643,6/25/10
FAGR,30256,3/7/11
FRAM,201248,8/XX/17
JUNI,10122,10/25/10
JUNI,200577,8/9/10
JUNI,10010,6/23/10
JUNI,162575,8/10/10
JUNI,12354,7/2/10
JUNI,10296,6/25/10
JUNI,112323,7/9/10
JUNI,200813,8/9/10
LITU,110379,6/16/10
LITU,200038,8/9/10
LITU,22441,10/19/10
LITU,19001B,8/9/10
LITU,62144,6/29/10
LITU,102412,8/2/10
LITU,90486,6/14/10
LITU,80308,6/15/10
LITU,110798,6/7/10
LITU,131304,10/25/10
LITU,130579,6/15/10
LITU,202555,8/3/10
LITU,110128,10/19/10
LITU,111014,6/8/10
PIST,142484,8/2/10
PIST,192213,8/3/10
QUAL,142539,8/3/10
QUAL,60078,6/15/10
QUAL,102271,3/8/11
QUAL,102371,3/8/11
QUAL,122474,7/8/10
QUAL,70069,6/15/10
QUAL,60121,6/15/10
QUAL,180996,8/2/10
QUAL,22014,7/1/10
QUAL,80089,6/15/10
QUAL,70536,6/2/10
QUAL,70371,6/15/10
QUAL,80451,6/16/10
QUAL,60315,6/15/10
QUAL,100990,6/3/10
QUPR,10726,3/8/11
QUPR,80458,6/16/10
QUPR,202230,8/3/10
QUPR,151120,8/9/10
QUPR,22031,3/8/11
QUPR,52323,7/2/10
QUPR,22064,10/19/10
QUPR,60161,10/19/10
QUPR,60187,6/16/10
QUPR,10731,8/10/10
QUPR,142602,8/10/10
QURU,60550,8/2/10
QURU,60414,3/8/11
QURU,62281,6/29/10
QURU,62019,6/29/10
QURU,131087,6/7/10
QURU,122060,7/19/10
QURU,121434,7/19/10
QURU,70502,8/5/10
QURU,82138,7/1/10
QURU,80233,6/15/10
QURU,40649,6/25/10
QURU,522870,3/8/11
QURU,62372,10/25/10
QURU,111314,7/13/10
QURU,80330,6/15/10
QURU,150890,6/8/10
QURU,70382,8/5/10
QURU,72396,7/14/10
QURU,100771,6/14/10
QURU,50274,6/14/10
QUVE,112206,7/19/10
QUVE,40533,6/14/10
QUVE,152645,7/8/10
QUVE,52276,7/2/10
QUVE,150957,6/8/10
QUVE,102238,7/9/10
QUVE,121026,6/10/10
QUVE,160935,8/10/10
QUVE,18213,8/10/10
QUVE,80046,6/15/10
QUVE,32498,10/19/10
QUVE,90650,6/1/10
QUVE,42283A,8/2/10
QUVE,132396,10/25/10
QUVE,121379,6/10/10
QUVE,90577,6/1/10
QUVE,131009,10/19/10
QUVE,140756,6/10/10
QUVE,110920,6/8/10
QUVE,132542,7/8/10
QUVE,101215,7/13/10
QUVE,100551,6/11/10
QUVE,182130A,8/2/10
QUVE,110819,6/8/10
QUVE,142015,10/25/10
QUVE,82434,10/25/10
QUVE,80148,6/15/10
QUVE,90084,6/11/10
QUVE,130991,6/10/10
QUVE,42248,6/29/10
QUVE,182686,8/3/10
QUVE,52403,7/2/10
