Year,qual052239_1scbi,qual052239_2scbi,qual102177_1scbi,qual102177_2scbi,qual102271_1scbi,qual102271_2scbi,qual132390_1scbi,qual132390_2scbi,qual162119_2scbi,qual202050_1scbi,qual202050_2scbi
1796,,,,,1.19,,,,,,
1797,,,,,0.61,,,,,,
1798,,,,,0.41,,,,,,
1799,,,,,0.36,,,,,,
1800,,,,,0.51,,,,,,
1801,,,,,0.42,,,,,,
1802,,,,,0.47,,,,,,
1803,,,,,0.51,,,,,,
1804,,,,,0.7,,,,,,
1805,,,,,0.57,,,,,,
1806,,,,,0.37,,,,,,
1807,,,,,0.4,,,,,,
1808,,,,,0.53,,,,,,
1809,,,,,0.64,,,,,,
1810,,,,,0.47,0.83,,,,,
1811,,,,,0.6,1.43,,,,,
1812,,,,,0.55,0.71,,,,,
1813,,,,,0.55,0.55,,,,,
1814,,,,,0.55,0.64,,,,,
1815,,,,,0.57,0.83,,,,,
1816,,,,,0.76,0.85,,,,,
1817,,,,,1.04,0.74,,,,,
1818,,,,,0.68,0.89,,,,,
1819,,,,,1.04,0.89,,,,,
1820,,,,,1.36,0.88,,,,,
1821,,,,,1.06,1.13,,,,,
1822,,,,,0.81,0.78,,,,,
1823,,,,,0.78,0.66,,,,,
1824,,,,,0.7,0.73,,,,,
1825,,,,,0.62,0.64,,,,,
1826,,,,,0.66,0.38,,,,,
1827,,,,,2.1,0.55,,,,,
1828,,,,,2.31,0.79,,,,,
1829,,,,,1.88,0.91,,,,,
1830,,,,,2.08,1.05,,,,,
1831,,,,,2.12,1.44,,,,,
1832,,,,,1.97,1.61,,,,,
1833,,,,,1.63,1.56,,,,,
1834,,,,,1.86,1.5,,,,,
1835,,,,,1.72,1.81,,,,,
1836,,,,,1.63,1.31,,,,,
1837,,,,,1.21,1.21,,,,,
1838,,,,,0.45,1.47,,,,,
1839,,,,,0.47,0.82,0.92,,,,
1840,,,,,0.64,0.5,0.23,,,,
1841,,,,,0.69,0.42,0.35,,,,
1842,,,,,0.79,0.31,0.41,,,,
1843,,,,0.37,0.85,1.1,0.4,,,,
1844,,,,0.24,0.78,0.6,0.43,,,,
1845,,,,0.39,1.26,0.91,0.44,,,,
1846,,,,0.55,0.91,0.77,0.49,,,,
1847,,,,0.65,1.25,1.16,0.36,,,,
1848,,,,0.82,0.97,0.85,0.35,,,,
1849,,,,0.56,1.04,0.7,0.46,,,,
1850,,,,0.51,0.93,0.49,0.35,,,,
1851,,,,0.85,1.21,0.86,0.5,,,,
1852,,,,0.49,1.31,0.65,0.34,,,,
1853,,,,0.45,1.32,0.6,0.45,,,,
1854,,,,0.38,0.8,0.45,0.46,,,,
1855,,,,0.38,0.38,0.37,0.37,,,,
1856,,,,0.36,0.4,0.23,0.41,,,,
