"tag","coreID","sp","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
30567,"30567A","cagl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.289,0.962,0.31,0.258,0.503,0.334,0.301,0.376,0.286,0.309,0.285,0.3,0.327,0.286,0.275,0.229,0.352,0.241,0.429,0.449,0.571,0.611,0.524,1.026,0.579,0.684,0.806,0.666,1.075,0.782,0.83,0.678,0.73,0.735,0.749,1.178,1.147,1.051,1.034,1.267,1.09,1.129,1.051,2.11,2.589,0.733,0.749,1.645,1.828,1.832,2.213,1.31,1.072,1.116,0.712,0.472,0.57,0.89,1.154,0.797,1.572,1.29,1.038,1.16,1.144,1.185,1.588,1.831,1.028,0.74,0.733,2.155,2.578,2.127,1.357,1.067,1.108,1.489,1.154,0.287,0.2,0.098
30567,"30567B","cagl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.495,2.184,1.18,0.325,0.307,0.326,0.437,0.369,0.246,0.24,0.44,0.518,0.496,0.322,0.451,0.431,0.921,0.94,0.873,1.224,0.882,1.021,1.304,0.656,1.306,0.972,1.132,0.733,1.046,1.034,0.723,1.309,1.03,1.03,0.94,1.143,1.13,1.194,1.409,3.019,2.926,1.2,1.093,1.776,1.596,1.212,1.364,1.231,1.197,1.271,0.927,0.548,0.845,1.394,1.936,0.972,1.801,1.543,0.905,1.429,1.441,1.207,1.325,2.093,1.106,0.735,0.768,2.793,3.255,2.986,2.238,1.85,0.468,0.227,0.349,0.321,0.278,0.151
40522,"40522","cagl",NA,NA,NA,NA,NA,NA,NA,0.311,0.36,0.231,0.37,0.448,0.335,0.474,0.597,0.284,0.344,0.307,0.282,0.355,0.568,0.497,0.462,0.536,0.761,0.467,0.392,0.518,0.465,0.433,0.35,0.292,0.236,0.27,0.201,0.268,0.282,0.274,0.192,0.309,0.212,0.236,0.24,0.303,0.106,0.16,0.072,0.12,0.123,0.089,0.102,0.161,0.158,0.149,0.078,0.122,0.177,0.187,0.429,0.384,0.514,0.562,0.583,0.383,0.326,0.455,0.517,0.486,0.453,0.354,0.261,0.306,0.276,0.203,0.239,0.249,0.258,0.161,0.152,0.146,0.082,0.088,0.153,0.145,0.05,0.164,0.144,0.127,0.088,0.079,0.18,0.067,0.058,0.172,0.08,0.23,0.151,0.059,0.131,0.113,0.115,0.161,0.039,0.185,0.153,0.14,0.133,0.305,0.25,0.262,0.218,0.229,0.218,0.165,0.26,0.293,0.339,0.304,0.348,0.458,0.349,0.343,0.334,0.356,0.407,0.374,0.356,0.403,0.659,0.581,0.6,0.336,0.245,0.29,0.383,0.342,NA,NA,NA,NA,NA,NA,NA
50244,"50244","cagl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.728,0.83,1.154,1.374,1.082,1.789,1.101,1.502,0.889,0.768,0.762,0.499,0.474,0.224,0.193,0.134,0.276,0.202,0.234,0.376,0.531,0.331,0.356,0.255,0.25,0.183,0.107,0.158,0.379,0.232,0.426,0.469,0.514,0.475,0.347,0.485,0.451,0.507,0.418,0.311,0.339,0.464,0.419,0.277,0.525,0.43,0.397,0.37,0.362,0.292,0.18,0.177,0.178,0.238,0.221,0.282,0.396,0.416,0.656,0.938,0.521,0.656,0.423,0.303,0.308,0.217,0.278,1.037,0.49,0.157,0.099,0.078,0.077,0.116,0.08,0.072,0.087,0.117,0.112,0.052,0.093,0.084,0.057,0.1,0.086,0.072,NA,NA,NA,NA,NA,NA,NA
50246,"50246","cagl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931,0.74,0.736,0.382,0.737,0.381,0.428,0.382,0.247,0.257,0.219,0.435,0.162,0.258,0.241,0.35,0.366,0.368,0.238,0.237,0.263,0.223,0.467,0.475,0.955,0.641,0.775,0.877,1.027,0.873,0.509,0.552,0.517,0.529,0.579,0.514,0.499,0.587,0.184,0.212,0.515,0.625,0.336,0.251,0.276,0.433,0.313,0.174,0.313,0.237,0.312,0.292,0.369,0.448,0.542,1.111,1.093,1.054,1.275,0.986,1.136,0.662,0.733,0.607,0.402,0.434,0.339,0.341,0.422,0.241,0.284,0.209,0.172,0.294,0.216,0.233,0.217,0.154,0.259,0.222,0.442,0.45,0.478,0.398,0.2,0.228,0.322,0.242,0.308,0.285,0.307,0.26,0.249,0.559,0.36,0.384,0.354,0.294,0.361,0.23,0.262,0.339,0.342,0.464,0.283,NA,NA,NA,NA,NA,NA,NA
60059,"60059","cagl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.791,0.86,0.909,0.822,0.72,0.707,0.605,0.732,0.757,0.43,0.569,0.489,0.463,0.654,0.814,0.598,0.452,0.373,0.44,0.512,0.95,0.567,0.836,0.516,0.516,0.676,0.681,0.889,0.898,0.953,0.921,1.255,1.044,0.865,1.009,1.01,0.938,0.802,1.025,1.232,0.957,0.733,0.757,0.788,0.827,0.54,0.735,0.756,0.683,0.702,0.511,0.495,0.846,1.173,1.16,1.017,1.649,1.475,1.267,1.357,0.685,0.633,0.587,0.619,0.587,0.923,1.093,0.904,0.902,0.87,1.057,1.39,0.771,1.046,0.797,0.695,1.087,1.118,0.74,0.718,0.84,1.055,0.679,0.932,0.906,0.832,0.859,0.738,1.133,0.782,1.017,1.062,0.895,0.797,0.844,0.664,0.681,0.588,0.672,0.984,0.713,0.644,0.906,0.707,0.836,0.877,0.816,0.816,NA,NA,NA,NA,NA,NA,NA
60172,"60172","cagl",NA,0.733,0.762,0.801,0.53,0.433,0.407,0.668,0.595,0.534,0.412,0.474,0.622,0.728,0.531,0.215,0.302,0.251,0.387,0.365,0.348,0.664,0.48,0.432,0.404,0.427,0.566,0.453,0.392,0.329,0.372,0.301,0.29,0.293,0.244,0.176,0.189,0.126,0.104,0.137,0.185,0.13,0.133,0.212,0.419,0.536,0.522,0.54,0.566,0.682,1.217,0.714,0.644,0.845,0.62,0.814,0.749,0.666,0.65,0.459,0.676,0.491,0.456,0.532,0.454,0.411,0.562,0.407,0.653,0.729,0.499,0.393,0.351,0.287,0.223,0.125,0.297,0.191,0.32,0.237,0.246,0.252,0.377,0.299,0.395,0.439,0.662,0.383,0.474,0.446,0.25,0.318,0.315,0.292,0.235,0.148,0.287,0.349,0.242,0.253,0.243,0.312,0.224,0.156,0.176,0.329,0.367,0.269,0.706,0.732,0.641,0.422,0.395,0.569,0.501,0.36,0.473,0.445,0.491,0.441,0.452,0.444,0.522,0.435,0.487,0.376,0.32,0.512,0.475,0.409,0.445,0.411,0.353,0.409,0.77,0.488,NA,NA,NA,NA,NA,NA,NA
60252,"60252","cagl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615,0.365,0.519,0.359,0.362,0.327,0.264,0.151,0.129,0.122,0.225,0.083,0.053,0.141,0.063,0.115,0.146,0.17,0.125,0.188,0.175,0.153,0.105,0.137,0.203,0.265,0.195,0.253,0.263,0.158,0.162,0.129,0.084,0.1,0.152,0.188,0.287,0.199,0.199,0.119,0.113,0.166,0.267,0.104,0.431,0.251,0.304,0.35,0.404,0.346,0.285,0.427,0.279,0.337,0.298,0.29,0.438,0.282,0.272,0.158,0.538,0.289,0.195,0.133,0.091,0.292,0.118,0.111,0.11,0.127,0.431,0.843,0.78,0.67,0.777,0.513,0.697,0.566,0.53,0.505,0.428,0.519,0.373,0.46,0.438,0.456,0.327,0.228,0.236,0.181,0.184,0.125,0.308,0.199,0.277,0.235,0.354,0.417,0.316,0.207,0.088,0.136,0.163,0.143,0.177,0.057,0.165,0.107,0.101,0.19,0.208,0.151,0.201,0.11,0.149,0.254,0.139,0.109,0.111,0.114,0.141,0.11,0.081,0.094,0.187,NA,NA,NA,NA,NA,NA,NA
60386,"60386","cagl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.231,1.431,1.313,1.025,0.877,0.697,0.628,0.566,0.824,0.358,0.708,0.711,0.497,0.757,0.909,1.024,0.79,1.118,0.899,1.09,1.31,0.678,0.919,0.964,1.079,1.344,1.408,1.416,0.856,0.978,0.66,0.758,0.897,0.739,1.101,0.66,0.673,0.421,0.43,0.572,0.476,0.298,0.341,0.524,0.38,0.3,0.453,0.376,0.372,0.488,0.368,0.36,0.58,0.46,0.302,0.322,0.47,0.356,0.401,0.234,0.201,0.206,0.201,0.155,0.227,0.22,0.232,0.128,0.159,0.172,0.122,0.163,0.23,0.105,0.158,0.173,0.149,0.181,0.286,0.183,0.202,0.111,0.115,0.22,0.124,0.236,0.205,0.205,0.219,0.163,0.286,0.175,0.209,0.196,0.214,0.119,0.075,0.118,0.095,0.138,0.201,0.22,0.165,0.167,0.171,0.249,NA,NA,NA,NA,NA,NA,NA
62267,"62267A","cagl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.311,1.278,0.801,0.796,1.06,0.72,0.633,0.766,1.213,1.369,1.081,0.668,0.608,0.47,0.499,0.552,0.472,0.497,0.381,0.536,0.373,0.343,0.325,0.343,0.27,0.357,0.264,0.302,0.301,0.307,0.245,0.207,0.427,0.766,0.958,0.642,1.196,0.759,1.357,2.317,1.201,1.529,1.037,0.764,0.83,0.669,0.754,0.699,0.495,0.739,0.733,0.928,0.932,0.813,0.526,0.636,0.382,0.366,0.33,0.37,0.429,0.279,0.283,0.193,0.234,0.139,0.271,0.192,0.251,0.227,0.194,0.316,0.31,0.19,0.279,0.184,0.346,0.284,0.22,0.244,0.633,0.313,0.294,0.164,0.325,0.364,0.336,0.354,0.429,0.28,0.269,0.368,0.4,0.417,0.711,0.408,0.511,0.54,0.474,0.304,0.298,0.224,0.451,0.558,0.359,0.29,0.21,0.281,0.219,0.258,0.252,0.262,0.203,0.29,0.262,0.239,0.213,0.253,0.296,0.156,NA
