"tag","coreID","sp","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
12080,"12080B","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66,0.767,1.694,1.324,1.441,3.298,4.572,4.818,2.886,3.707,2.164,1.666,3.2,2.732,1.906,1.841,3.183,1.806,1.614,1.561,2.155,2.189,1.815,1.887,2.992,2.458,2.844,1.904,1.939,1.607,1.552,2.084,1.814,1.329,2.198,1.482,1.64,1.094,1.326,1.171,0.998,0.908,0.809,0.941,0.858,0.765,0.786,0.949,0.956,0.996,0.755,0.947,0.828,0.796,0.864,0.643,0.834,0.714,0.928,0.684,0.868,1.036,0.795,0.769,0.813,0.708,0.863,0.696,0.802,0.581,0.904,0.837,1.252,1.084,0.98,1.232,1.031,0.798,1.012,1.109,1.214,0.994,1.034,1.046,1,1.069,1.014,1.255,1.06,1.131,1.445,0.98,1.976,1.676,NA,NA,NA,NA,NA
12989,"12989A","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2.709,2.532,1.891,2.082,1.949,2.392,1.154,1.2,1.306,1.264,2.944,3.108,4.279,2.427,1.843,2.705,1.746,1.894,2.146,2.477,1.858,2.3,1.211,1.393,1.177,1.685,1.853,1.532,1.696,2.162,1.615,2.415,1.891,2.229,2.127,1.603,1.831,1.681,1.329,2.253,1.545,2.074,1.221,1.566,1.317,1.071,1.125,0.972,0.947,0.906,0.762,0.8,0.874,0.939,0.955,0.644,0.943,0.794,0.755,0.785,0.714,0.789,0.835,0.961,0.887,0.973,0.716,0.716,0.884,0.749,0.691,0.959,0.805,0.671,0.586,0.735,0.811,1.105,1.051,0.696,0.854,1.085,0.847,0.855,1.115,1.06,0.947,1.039,1.127,0.81,1.055,0.932,1.405,1.299,0.991,1.42,0.989,1.587,1.32,NA,NA,NA,NA,NA
22441,"22441","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.454,2.799,3.207,2.343,1.958,1.533,2.245,2.523,2.514,2.388,2.717,2.418,1.006,1.195,2.384,1.792,1.393,0.983,0.826,1.671,1.214,1.303,1.665,0.661,1.208,0.718,0.726,0.346,0.405,0.947,1.63,2.241,1.983,2.492,2.232,2.242,1.406,1.53,0.96,1.393,1.217,0.955,0.705,1.237,1.756,0.808,1.029,1.366,1.169,1.171,1.253,2.644,1.703,1.443,2.209,1.023,1.557,1.533,1.756,1.16,0.892,0.601,0.862,0.774,0.723,1.613,1.402,0.84,0.477,0.777,0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90552,"90552","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755,1.359,1.073,0.816,1.451,1.52,1.621,1.478,1.377,1.452,1.021,1.366,1.05,1.109,0.984,1.222,1.244,1.153,1.185,0.911,1.035,1.14,1.068,1.007,0.838,1.357,0.795,1.17,1.075,0.826,0.998,1.178,0.951,0.902,0.819,0.784,0.945,0.855,1.031,0.672,0.911,0.887,0.838,0.638,0.487,0.544,0.497,0.56,0.818,0.703,0.764,0.613,0.9,0.865,0.916,1.037,0.711,0.487,0.705,0.64,0.414,0.504,0.548,0.445,0.326,0.385,0.374,0.429,0.467,0.6,0.81,0.45,0.604,0.622,0.607,0.471,0.554,0.56,0.628,0.606,0.56,0.772,0.692,0.484,0.594,0.636,0.651,0.567,0.61,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90639,"90639A","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,0.199,0.209,0.224,0.716,0.486,0.503,0.564,0.39,0.707,0.636,1.081,1.618,1.038,1.562,0.986,1.119,1.064,0.901,0.735,0.832,0.662,0.462,0.567,0.586,0.568,0.792,0.615,0.59,0.347,0.41,0.372,0.384,0.374,0.489,0.565,0.38,0.197,0.326,0.312,0.213,0.266,0.969,0.879,1.301,1.208,1.569,1.016,1.472,0.986,0.73,0.769,0.679,0.573,0.464,0.389,0.429,0.536,0.405,0.358,0.284,0.315,0.301,0.252,0.167,0.389,0.314,0.322,0.447,0.304,0.321,0.19,0.354,0.347,0.219,0.23,NA
90639,"90639B","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469,0.21,0.231,0.161,0.495,0.247,0.416,0.198,0.794,0.551,0.692,0.739,0.685,1.144,1.371,0.845,1.094,0.894,1.09,1.171,0.89,0.865,0.783,0.665,0.395,0.579,0.535,0.612,0.842,0.699,0.656,0.342,0.541,0.344,0.476,0.268,0.364,0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130992,"130992A","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,0.743,0.851,0.988,0.82,0.42,0.59,0.639,0.486,0.61,0.457,0.385,0.349,0.25,0.251,0.273,0.225,0.175,0.429,0.445,0.452,0.199,0.187,0.211,0.22,0.083,0.171,0.219,0.365,0.355,0.317,0.314,0.895,1.291,1.363,1.597,2.076,1.535,1.499,1.483,1.499,1.768,1.097,1.384,1.258,1.273,1.61,1.771,1.937,1.163,1.44,1.653,1.936,2.209,1.752,1.638,1.613,0.793,1.303,1.731,1.861,1.03,0.997,0.994,0.892,0.708,0.7,0.713,0.751,0.531,0.769,0.738,0.802,0.612,0.338,0.463,0.343,0.23,0.228,0.213,0.258,0.122,0.309,0.45,0.197,0.142,0.166,0.179,NA,NA,NA,NA,NA
130992,"130992B","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733,0.542,0.806,0.71,1.031,0.812,0.829,0.537,0.734,0.82,0.734,0.844,0.496,0.468,0.369,0.178,0.335,0.207,0.139,0.176,0.251,0.452,0.593,0.209,0.261,0.229,0.239,0.192,0.302,0.411,0.334,0.274,0.34,1.217,2.06,2.093,2.499,3.059,2.163,2.115,1.917,1.774,1.997,1.782,1.853,1.43,1.801,2.082,2.39,2.211,1.328,1.51,1.938,1.934,2.124,1.853,2.363,1.775,0.661,1.537,2.067,1.958,1.021,1.082,1.423,1.255,0.757,0.842,0.755,0.82,0.658,0.849,0.827,0.688,0.612,0.368,0.488,0.424,0.267,0.285,0.312,0.288,0.176,0.168,NA,NA,NA,NA,NA
131179,"131179A","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,2.479,1.638,1.068,1.531,1.232,0.845,1.208,1.156,0.958,0.723,0.552,0.554,0.37,0.374,0.633,0.324,0.827,1.006,1.701,1.431,1.105,1.11,0.998,2.107,3.198,3.57,2.778,3.729,3.137,3.505,3.018,3.178,2.724,2.227,2.56,2.222,2.206,2.055,2.129,2.807,2.596,2.779,1.798,1.155,0.951,1.24,1.344,1.697,2.851,1.213,0.957,1.517,1.136,1.392,1.083,1.119,1.197,0.9,1.045,1.07,1.197,2.191,1.396,1.667,1.961,1.171,1.635,1.432,1.066,0.774,1.058,0.842,0.944,0.727,0.881,0.764,0.487,0.398,0.175,0.263,0.287,0.344,0.243,0.337,0.285,0.238,0.234,0.354,0.306,0.182,0.242,0.354,0.477,0.351,0.376,0.377,0.172,0.098,0.293,0.207,0.294,0.123,0.36,0.222,0.243,0.226,0.195,NA,NA,NA,NA
131179,"131179B","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.405,1.827,1.29,1.062,1.02,1.527,1.244,0.79,0.631,0.549,0.617,0.226,0.346,0.168,1.032,1.533,2.739,1.505,1.116,1.754,1.449,2.818,3.166,3.946,2.871,3.813,3.608,2.942,3.638,4.315,2.927,2.203,2.266,3.091,4.007,3.602,2.811,4.037,3.067,3.292,1.857,1.542,1.576,2.269,2.032,1.648,3.855,1.463,1.147,1.695,1.189,1.401,1.18,0.951,1.207,0.866,0.884,0.946,0.922,1.549,1.263,1.447,1.756,0.924,1.306,1.095,0.986,0.744,1.009,0.991,1.002,0.859,0.872,0.811,0.332,0.273,0.199,0.255,0.317,0.457,0.285,0.192,0.273,0.327,0.153,0.269,0.186,0.278,0.216,0.212,0.337,0.476,0.375,0.311,0.446,0.357,0.269,0.353,0.207,0.257,0.21,0.466,0.239,0.275,0.234,0.275,0.139,0.154,0.163,0.296,0.308,0.287,0.154,0.248,0.204,0.347,0.35,0.344,0.429,0.207,0.341,0.16
131183,"131183A","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,2.723,1.354,1.696,1.335,1.322,2.037,1.894,2.165,1.218,1.228,1.289,1.439,1.336,1.594,1.328,1.375,1.626,1.186,1.15,1.309,1.169,1.283,1.06,1.448,1.162,0.98,0.372,0.48,0.787,0.794,0.355,0.34,0.229,0.452,0.525,0.373,0.407,0.255,0.394,0.494,0.504,0.332,0.274,0.327,0.3,0.307,0.263,0.253,0.31,0.242,0.396,0.337,0.489,0.945,1.55,0.935,0.527,0.822,0.582,0.443,0.37,0.378,0.219,0.201,0.16,0.242,0.301,0.388,0.189,0.225,0.218,0.278,0.35,0.285,0.23,0.237,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131183,"131183B","cato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.978,2.836,2.51,2.96,2.451,3.171,2.837,2.829,2.457,2.636,2.292,1.897,2.526,1.297,1.347,1.481,1.669,1.104,0.984,1.17,0.823,0.806,0.402,0.495,0.643,0.733,0.371,0.384,0.325,1.507,1.531,1.188,1.655,0.618,0.685,1.202,0.658,1.193,0.842,0.549,0.487,0.349,0.244,0.33,0.372,0.227,0.447,0.212,0.215,0.307,0.219,0.331,0.183,0.308,1.169,1.546,1.183,1.761,2.109,2.329,0.743,0.38,0.322,0.374,0.397,0.393,0.311,NA,NA,NA,NA,NA,NA,NA,NA
