"sp","crown.position","n.trees","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"caco","C",2,354,385,369.5
"caco","D",0,NA,NA,NA
"caco","I",6,189.6,615,318.5
"caco","S",5,107,315.5,176.8
"cagl","C",8,211.1,985,449
"cagl","D",1,565,565,565
"cagl","I",17,188,445,284.5
"cagl","S",5,98,220,147.4
"caovl","C",5,337,660,500.2
"caovl","D",4,424,529,473.8
"caovl","I",12,204,442,282.7
"caovl","S",2,149,179,164
"cato","C",0,NA,NA,NA
"cato","D",0,NA,NA,NA
"cato","I",11,121,322.1,215.5
"cato","S",2,159,197.2,178.1
"fagr","C",7,152,1072,427.1
"fagr","D",0,NA,NA,NA
"fagr","I",48,133,626,237.4
"fagr","S",25,112,302,176.9
"fram","C",20,172,926,549.7
"fram","D",0,NA,NA,NA
"fram","I",28,68,947.3,283.4
"fram","S",14,64,520,214
"frni","C",1,370.9,370.9,370.9
"frni","D",0,NA,NA,NA
"frni","I",6,64,392,220.9
"frni","S",5,100,174.5,130.1
"juni","C",22,332,870,515.2
"juni","D",0,NA,NA,NA
"juni","I",9,242,679,398.8
"juni","S",0,NA,NA,NA
"litu","C",30,285,871,608.6
"litu","D",8,493,1004,738.9
"litu","I",30,131.2,437,236.9
"litu","S",30,100,338,161.4
"pist","C",14,276,618,411.6
"pist","D",0,NA,NA,NA
"pist","I",15,151,402,267
"pist","S",6,139.2,239,186
"qual","C",34,311,791,572
"qual","D",4,418,701,603.2
"qual","I",20,166,518,319.1
"qual","S",3,114,231.7,172.9
"qupr","C",26,257,872,559.2
"qupr","D",1,603,603,603
"qupr","I",20,127,625,385.6
"qupr","S",12,105,640,172.8
"quru","C",37,254,960,644.5
"quru","D",6,588,1480,862.5
"quru","I",24,174,676,353.7
"quru","S",2,110.7,245.9,178.3
"quve","C",48,280,845,595.8
"quve","D",6,488,1142,670.3
"quve","I",22,160.2,828.9,402
"quve","S",1,222,222,222
