tag,stemtag,sp,quadrat,treeID,stemID,dbh2008,dbh2013,dbh2018,biannual,intraannual,cored,year.cored,status,illum,crown.condition,crown.position,tree.notes,lx,ly,gx,gy,NAD83_X,NAD83_Y,lat,lon
10010,1,juni,101,1009,1009,541.9,578,629,0,0,1,2010-2011,alive,4,3,C,,7.3,12.2,7.3,12.2,747392.536,4308518.804,38.89072929,-78.14763554
10122,1,juni,101,1104,1104,761.9,815,870,0,0,1,2010-2011,alive,4,3,C,,15.6,13.6,15.6,13.6,747400.8013,4308520.396,38.89074129,-78.14753978
10194,1,fagr,104,1165,1165,275.8,307.8,346,0,0,1,2010-2011,alive,2,4,I,,14.9,13.2,14.9,73.2,747398.7188,4308579.964,38.89127801,-78.1475423
10296,1,juni,106,1257,1257,550.9,571.5,587,0,0,1,2010-2011,alive,5,3,C,,9.7,9.2,9.7,109.2,747392.685,4308615.834,38.89160254,-78.14759886
10469,1,litu,109,1419,1419,810.4,838.8,895,1,0,0,NA,alive,5,4,D,,9.7,1,9.7,161,747391.4833,4308667.62,38.89206897,-78.14759405
10517,1,quve,107,1465,1465,181.1,200,222,0,0,1,2010-2011,alive,3,4,S,,4.5,0.6,4.5,120.6,747387.222,4308627.11,38.89170557,-78.14765772
10539,1,fram,108,1483,1483,463.4,470.9,470,0,0,1,2010-2011,dead,4,2,C,,4.3,12,4.3,152,747386.2936,4308658.497,38.89198833,-78.1476571
10587,1,litu,113,1526,1526,938.4,965,997,1,0,0,NA,alive,4,4,C,,2.6,13,2.6,253,747382.2509,4308759.43,38.8928979,-78.1476673
10609,1,cagl,111,1548,1548,410.2,439,439,1,0,0,NA,alive,4,4,C,,19.5,2.9,19.5,202.9,747400.3086,4308709.736,38.89244555,-78.14747723
10619,1,fagr,111,1558,1558,189.9,213,231,0,0,1,2010-2011,alive,2,4,I,,4.3,8.3,4.3,208.3,747384.9874,4308714.782,38.89249528,-78.14765187
10636,1,quru,112,1575,1575,367.2,385,393,0,0,1,2010-2011,alive,3,4,I,,20,0.4,20,220.4,747400.4025,4308727.243,38.89260309,-78.14746985
10647,1,fagr,112,1586,1586,142.5,153,173,0,0,1,2010-2011,alive,3,4,I,,9.5,13.5,9.5,233.5,747389.6014,4308740.096,38.89272181,-78.14758961
10664,1,fagr,114,1603,1603,135,148,164,0,0,1,2010-2011,alive,3,4,I,,16.8,9.7,16.8,269.7,747396.0596,4308776.455,38.89304724,-78.14750213
10671,1,quru,114,1609,1609,823.5,851,905,1,1,0,NA,alive,4,4,C,,6.2,14.5,6.2,274.5,747385.3511,4308781.008,38.89309123,-78.14762382
10675,1,fagr,114,1613,1613,186.5,208,227,0,0,1,2010-2011,alive,2,4,I,,12.1,11.5,12.1,271.5,747391.3191,4308778.146,38.89306379,-78.14755612
10726,1,qupr,115,1664,1664,706.2,723,753,0,0,1,2010-2011,alive,4,2,C,,4,8.1,4,288.1,747382.8362,4308794.553,38.89321385,-78.1476479
10730,1,fagr,115,1668,1668,137.3,145.5,153,0,0,1,2010-2011,alive,1,4,S,,9.8,15.7,9.8,295.7,747388.4583,4308802.286,38.89328186,-78.14758037
10731,1,qupr,115,1669,1669,605.7,618,622,0,0,1,2010-2011,alive,4,4,C,,8.4,15.9,8.4,295.9,747387.0541,4308802.453,38.89328377,-78.14759648
10743,1,fagr,115,1681,1681,116.1,124,138,0,0,1,2010-2011,alive,1,4,S,,18.7,19.8,18.7,299.8,747397.2608,4308806.591,38.89331814,-78.14747744
12025,1,quru,117,1713,1713,798.1,832.5,870,1,1,0,NA,alive,4,4,C,,5,16.3,5,336.3,747382.7177,4308842.763,38.89364779,-78.1476319
12032,1,fagr,118,1720,1720,159,182,217,0,0,1,2010-2011,alive,3,4,I,,8.8,8.6,8.8,348.6,747386.2314,4308855.148,38.89375827,-78.14758697
12080,1,cato,119,1767,1767,315.9,322.1,0,0,0,1,2010-2011,dead,NA,NA,NA,CF,7.1,17.8,7.1,377.8,747383.8544,4308884.301,38.89402133,-78.14760384
12101,1,quru,120,1786,1786,875.2,0,0,1,0,0,NA,dead,NA,NA,NA,NA,10.7,1.9,10.7,381.9,747387.3583,4308888.483,38.89405798,-78.14756198
12171,1,frni,122,1853,1853,135.5,135.2,135,0,0,1,2016-2017,dead,2,3,S,,14.2,12,14.2,432,747389.6951,4308938.651,38.89450885,-78.14751699
12221,1,frni,123,1898,1898,308.2,304.8,0,0,0,1,2016-2017,dead,NA,NA,NA,fallen,11.1,15.2,11.1,455.2,747386.0577,4308961.773,38.89471798,-78.14755055
12234,1,fram,124,1911,1911,311.4,313,320,0,0,1,2016-2017,dead,NA,NA,NA,CF,14.2,1.2,14.2,461.2,747389.0177,4308967.843,38.89477178,-78.14751427
12259,1,litu,125,1934,1934,1012.3,1018.8,1032,1,0,0,NA,alive,3,4,I,,16.3,1.5,16.3,481.5,747390.6462,4308988.187,38.89495442,-78.14748819
12267,1,fram,125,1940,1940,206.6,206.3,0,0,0,1,2010-2011,dead,NA,NA,NA,fallen,19.9,12.6,19.9,492.6,747393.9877,4308999.367,38.8950541,-78.14744567
12270,1,tiam,125,1942,1942,257.2,280.7,304,1,0,0,NA,alive,3,4,I,,19.4,19.6,19.4,499.6,747393.3254,4309006.354,38.89511717,-78.14745078
12303,1,fram,126,1972,1972,276.1,286,296,0,0,1,2010-2011,alive,3,4,I,,3.8,8.1,3.8,508.1,747377.5324,4309014.489,38.89519484,-78.14762974
12308,1,caca,126,1977,1977,107.2,106,0,1,0,0,NA,dead,1,1,S,Poss dead,11.7,0.6,11.7,500.6,747385.6043,4309007.175,38.89512674,-78.14753941
12354,1,juni,128,2015,2015,509.2,539,580,0,0,1,2010-2011,alive,3,3,I,,3.2,6.5,3.2,546.5,747376.0417,4309052.865,38.89554066,-78.14763308
12366,1,litu,128,2023,2023,100.5,106.2,112,0,0,1,2010-2011,alive,1,1,S,Poss dead,16,14.1,16,554.1,747388.662,4309060.76,38.89560816,-78.14748489
12369,1,litu,128,2025,2025,116.1,117.7,0,0,0,1,2016-2017,dead,1,1,S,Poss dead,20,16.2,20,556.2,747392.6122,4309062.952,38.89562678,-78.1474386
12387,1,juni,129,2042,2042,204,222.8,242,0,0,1,2010-2011,alive,3,3,I,,4.6,0.9,4.6,560.9,747377.1073,4309067.294,38.89567022,-78.14761561
12445,1,quve,130,2097,2097,170.2,180.5,191,0,0,1,2010-2011,alive,2,4,I,,10,7.8,10,587.8,747381.8818,4309094.312,38.89591205,-78.14755089
12460,1,quru,130,2111,2111,375.8,412.5,461,0,0,1,2010-2011,alive,4,4,C,,13.4,15.9,13.4,595.9,747385.0929,4309102.489,38.89598474,-78.14751096
12490,1,litu,131,2139,2139,312.9,322,342,0,0,1,2010-2011,alive,3,4,I,,19.1,2.3,19.1,602.3,747390.6429,4309109.019,38.89604195,-78.14744468
12508,1,litu,131,2157,2157,875.9,889.2,925,1,0,0,NA,alive,4,4,C,,10.7,10.4,10.7,610.4,747382.0573,4309116.922,38.8961155,-78.14754072
20040,1,fram,201,2336,2336,273.4,274.8,274,0,0,1,2016-2017,dead,3,1,I,Poss dead,12.1,12.7,32.1,12.7,747417.3177,4308519.879,38.89073199,-78.14734975
20155,1,frni,203,2418,2418,231.2,252.9,0,0,0,1,2016-2017,dead,NA,NA,NA,CF,18.4,0.4,38.4,40.4,747422.9734,4308547.718,38.89098095,-78.14727459
20432,1,fram,204,2661,2661,543.2,550.5,0,1,0,1,2016-2017,dead,5,1,C,,3.5,19.8,23.5,79.8,747407.1634,4308586.762,38.89133681,-78.1474426
20587,1,litu,208,2778,2778,1159.4,1207.3,1262,1,0,0,NA,alive,5,4,D,,14.8,1.3,34.8,141.3,747417.0336,4308648.507,38.89188976,-78.14730668
20603,1,fram,208,2793,2793,814.6,840.8,862,1,0,0,NA,alive,4,3,C,,6,12.8,26,152.8,747407.9692,4308659.8,38.89199395,-78.147407
20605,1,caco,208,2795,2795,154.2,159.3,0,0,0,1,2010-2011,dead,1,1,S,Poss dead,4.7,16.7,24.7,156.7,747406.579,4308663.669,38.89202916,-78.14742162
20617,1,litu,209,2807,2807,822.2,851,883,1,0,0,NA,alive,4,4,C,,6.9,7.6,26.9,167.6,747408.5256,4308674.617,38.89212715,-78.14739526
20627,1,fagr,209,2817,2817,185.6,221.9,245,0,0,1,2010-2011,alive,2,4,I,,16,15.7,36,175.7,747417.4352,4308682.926,38.89219943,-78.14728965
20693,1,fagr,211,2878,2878,199.8,232.2,289,0,0,1,2010-2011,alive,3,4,I,,16.1,19.8,36.1,219.8,747416.5121,4308727.016,38.89259652,-78.1472844
20712,1,litu,212,2897,2897,873.2,896.2,930,1,0,0,NA,alive,4,4,D,,1.5,8.3,21.5,228.3,747401.7188,4308735.175,38.89267411,-78.14745183
20804,1,litu,215,2988,2988,312.7,302.3,0,0,0,1,2016-2017,dead,1,1,S,Poss dead,7.4,10.5,27.4,290.5,747406.1742,4308797.495,38.89323376,-78.14737806
20820,1,fagr,216,3003,3003,181.5,186.5,192,0,0,1,2010-2011,alive,2,3,I,,5.6,4.6,25.6,304.6,747404.0476,4308811.55,38.89336086,-78.14739749
20835,1,qual,216,3016,3016,415.6,417.5,0,0,0,1,2010-2011,dead,3,1,I,Poss dead,5.3,13,25.3,313,747403.5528,4308819.941,38.89343651,-78.14740016
20847,1,fagr,216,3028,3028,100.5,110.1,131,0,0,1,2010-2011,alive,2,4,S,,17.5,14.6,37.5,314.6,747415.7124,4308821.823,38.89345003,-78.14725945
22004,2,litu,217,3037,32560,235.2,244.1,266,1,0,0,NA,alive,4,4,C,,8.6,1.7,28.6,321.7,747406.6501,4308828.715,38.89351461,-78.14736133
22031,1,qupr,217,3062,3062,676,701,736,0,0,1,2010-2011,alive,4,4,C,,15.7,17.8,35.7,337.8,747413.3747,4308844.975,38.89365907,-78.14727803
22041,1,litu,217,3072,3072,800.6,817,850,1,0,0,NA,alive,5,4,D,,1.8,19,21.8,339,747399.4506,4308845.853,38.89367088,-78.14743807
22064,1,qupr,218,3095,3095,678.2,698,711,0,0,1,2010-2011,alive,4,4,C,,18.4,17.7,38.4,357.7,747415.6123,4308864.933,38.89383806,-78.14724506
22170,1,litu,221,3197,3197,1117.7,1128,1149,1,0,0,NA,alive,5,4,D,,7.9,13.8,27.9,413.8,747403.8136,4308920.774,38.89434397,-78.14736083
22208,1,frni,222,3233,3233,172.8,174.5,0,0,0,1,2016-2017,dead,2,2,S,,10.2,11.9,30.2,431.9,747405.6931,4308938.922,38.89450679,-78.14733264
22333,1,fram,226,3354,3354,412,421.6,430,1,0,0,NA,alive,3,4,C,,5.5,2.7,25.5,502.7,747399.3519,4309009.594,38.89514464,-78.14738021
22336,1,quru,226,3357,3357,774.8,806.9,829,0,0,1,2010-2011,alive,3,4,C,,3.9,7.5,23.9,507.5,747397.6409,4309014.356,38.89518798,-78.1473982
22371,1,quve,227,3392,3392,377,405.3,449,0,0,1,2010-2011,alive,4,4,C,RT,5.4,6.6,25.4,526.6,747398.6974,4309033.486,38.89535985,-78.14737914
22545,1,litu,230,3563,3563,590.2,612,650,0,0,1,2010-2011,alive,4,4,C,,17.2,6.9,37.2,586.9,747409.0953,4309094.043,38.89590196,-78.14723756
22600,1,qupr,231,3616,3616,106.1,114.5,0,0,0,1,2010-2011,dead,1,1,S,Poss dead,16.9,9.8,36.9,609.8,747408.2641,4309116.93,38.89610819,-78.14723888
22603,1,litu,231,3619,3619,130.7,133.5,141,0,0,1,2010-2011,alive,2,4,S,,13,18.8,33,618.8,747404.1564,4309125.837,38.89618951,-78.14728298
22604,1,litu,231,3620,3620,275.6,287.5,312,0,0,1,2010-2011,alive,3,4,I,,13.1,20,33.1,620,747404.2285,4309127.039,38.89620031,-78.14728172
30039,1,fram,302,3702,3702,920.2,932,926,1,0,1,2016-2017,dead,5,3,C,,4.6,2.7,44.6,22.7,747429.5824,4308530.167,38.89082112,-78.1472048
30062,1,fram,303,3724,3724,197.9,255,0,0,0,1,2010-2011,dead,4,3,I,,4.2,17.6,44.2,57.6,747428.3728,4308565.048,38.89113541,-78.14720616
30109,1,fram,301,3766,3766,525,543.3,544,0,0,1,2016-2017,dead,5,4,C,,13.7,2.5,53.7,2.5,747439.1485,4308510.183,38.89063857,-78.14710183
30135,1,juni,302,3783,3783,248.1,262,0,0,0,1,2010-2011,dead,3,4,I,RT,13.3,4.1,53.3,24.1,747438.2476,4308531.768,38.8908331,-78.14710443
30141,1,frni,302,3788,3788,137.6,128.5,0,0,0,1,2016-2017,dead,3,3,I,,20,13.1,60,33.1,747444.737,4308540.921,38.89091365,-78.1470264
30142,1,frni,302,3789,3789,158.1,162,0,0,0,1,2016-2017,dead,NA,NA,NA,fallen,17.4,11.2,57.4,31.2,747442.1817,4308538.961,38.89089673,-78.14705653
30174,1,fram,303,3818,3818,96.7,94,0,0,0,1,2016-2017,dead,2,1,S,Poss dead,8.4,10.3,48.4,50.3,747432.7411,4308557.847,38.89106937,-78.14715845
