ID,plot,spp,genus,p, DBH (cm), DBH_taper_linear (cm),field_dbh,final_dbh, length (m), height (m),difference_btwn_field_and_taper,outliers_taper_linear(TLS-derived),notes
6531,615,Acer rubrum,Acer,0.49,21.4222,21.1909,52.42,21.1909,19.1501,19.1057,31.2291,1,"columns L (""difference btwn…"" and M (""outliers"") are edits made by Ian McGregor (May 2019) to account for outliers by the TLS when determining the DBH_taper_linear. This was suggested by Atticus Stovall via email correspondence"
29074,1930,Acer rubrum,Acer,0.49,14.0227,13.0392,13.22,13.22,13.3257,13.2757,0.1808,0,
151,711,Acer rubrum,Acer,0.49,48.5548,49.509,58.2,58.2,32.5979,32.5873,8.691,0,
6884,628,Acer rubrum,Acer,0.49,10.4159,12.1329,10.74,10.74,8.10596,7.5935,-1.3929,0,
22200,1524,Acer rubrum,Acer,0.49,9.19899,9.05646,8.29,8.29,10.6433,10.3253,-0.76646,0,
148,711,Carpinus caroliniana,Carpinus,0.7286,16.0371,16.5286,29.13,29.13,9.2616,8.03955,12.6014,1,
7491,711,Carpinus caroliniana,Carpinus,0.7286,14.9716,14.3312,13.65,13.65,12.4908,12.3864,-0.6812,0,
138,615,Carpinus caroliniana,Carpinus,0.7286,11.0043,12.5567,18.77,13.45566423,7.70165,7.55955,6.2133,0,
7550,615,Carpinus caroliniana,Carpinus,0.7286,12.1754,11.8271,11.6,11.6,7.1281,7.06182,-0.2271,0,
7400,711,Carpinus caroliniana,Carpinus,0.7286,11.3765,10.9979,14.3,14.3,11.1508,10.4733,3.3021,0,
8441,711,Carpinus caroliniana,Carpinus,0.7286,15.1831,15.0011,10.85,10.85,9.97038,9.57139,-4.1511,0,
7200,711,Carpinus caroliniana,Carpinus,0.7286,9.89841,11.5342,10.72,10.72,8.17472,8.04262,-0.8142,0,
7493,711,Carpinus caroliniana,Carpinus,0.7286,12.0982,10.1815,18.23,10.62924739,9.53299,9.37776,8.0485,0,
7492,711,Carpinus caroliniana,Carpinus,0.7286,10.6675,11.6662,10.5,10.5,9.81235,9.5427,-1.1662,0,
8448,711,Carpinus caroliniana,Carpinus,0.7286,8.71219,10.6751,13.57,10.38308721,7.95357,7.04782,2.8949,0,
8444,711,Carpinus caroliniana,Carpinus,0.7286,12.1344,11.2854,9.99,9.99,7.69606,7.05167,-1.2954,0,
7442,615,Carpinus caroliniana,Carpinus,0.7286,9.78126,-2.48,9.95,9.95,8.08476,7.62107,12.43,1,
8525,711,Carpinus caroliniana,Carpinus,0.7286,11.6218,11.0979,9.89,9.89,12.0676,11.3447,-1.2079,0,
7439,615,Carpinus caroliniana,Carpinus,0.7286,10.2021,9.73975,9.73,9.73,7.14941,6.9718,-0.00975,0,
8440,711,Carpinus caroliniana,Carpinus,0.7286,11.7641,9.05627,9.12,9.12,10.7833,10.2172,0.06373,0,
7547,615,Carpinus caroliniana,Carpinus,0.7286,9.16384,9.90745,9.03,9.03,9.99089,8.99848,-0.87745,0,
8519,711,Carpinus caroliniana,Carpinus,0.7286,9.51645,8.45193,8.2,8.2,9.84371,9.60554,-0.25193,0,
8526,711,Carpinus caroliniana,Carpinus,0.7286,9.74757,11.0944,8,8,8.3429,7.42589,-3.0944,0,
6526,615,Carpinus caroliniana,Carpinus,0.7286,7.60532,8.63638,7.9,7.9,10.3252,10.0765,-0.73638,0,
7557,615,Carpinus caroliniana,Carpinus,0.7286,7.78795,8.65179,7.85,7.85,7.04992,6.77662,-0.80179,0,
7543,615,Carpinus caroliniana,Carpinus,0.7286,7.76562,8.46347,7.62,7.62,8.18582,7.70722,-0.84347,0,
6131,504,Carpinus caroliniana,Carpinus,0.7286,9.63153,8.8264,7.29,7.29,8.56896,8.23787,-1.5364,0,
8454,711,Carpinus caroliniana,Carpinus,0.7286,7.95477,8.38692,7.21,7.21,9.58531,9.40547,-1.17692,0,
8434,711,Carpinus caroliniana,Carpinus,0.7286,7.80957,8.12568,7.19,7.19,7.3423,7.32656,-0.93568,0,
8518,711,Carpinus caroliniana,Carpinus,0.7286,8.60765,8.16247,7,7,9.32255,8.28562,-1.16247,0,
8486,711,Carpinus caroliniana,Carpinus,0.7286,7.56197,8.37824,5.92,5.92,8.59236,8.37551,-2.45824,0,
5099,407,Carpinus caroliniana,Carpinus,0.7286,3.37065,3.08797,5.22,5.22,3.02726,2.71386,2.13203,0,
7549,615,Carya cordiformis,Carya,0.62,41.8038,36.8823,39.61,39.61,24.4217,24.2004,2.7277,0,
20032,1419,Carya cordiformis,Carya,0.62,39.2173,36.7985,36.19,36.19,29.7023,29.5119,-0.6085,0,
7567,615,Carya cordiformis,Carya,0.62,30.5898,32.4516,29.23,29.23,26.8487,26.6848,-3.2216,0,
20113,1419,Carya cordiformis,Carya,0.62,26.9512,28.2603,26.89,26.89,14.4465,14.3727,-1.3703,0,
20138,1419,Carya cordiformis,Carya,0.62,23.9152,24.5912,22.87,22.87,25.4963,25.1972,-1.7212,0,
3980,407,Carya cordiformis,Carya,0.62,19.4971,21.1402,18.19,18.19,14.9887,14.7625,-2.9502,0,
28732,1924,Carya cordiformis,Carya,0.62,15.4168,14.7759,17.8,17.8,13.5308,13.4859,3.0241,0,
20125,1419,Carya cordiformis,Carya,0.62,13.7121,13.9591,12.87,12.87,14.0311,13.8661,-1.0891,0,
27295,1924,Carya cordiformis,Carya,0.62,13.9857,13.5926,12.39,12.39,7.29221,7.10905,-1.2026,0,
3983,407,Carya cordiformis,Carya,0.62,13.0411,13.3889,11.5,11.5,10.8738,10.7981,-1.8889,0,
25253,1713,Carya cordiformis,Carya,0.62,8.68535,9.32187,7.71,7.71,8.38457,7.9636,-1.61187,0,
6075,504,Carya glabra,Carya,0.62,6.24574,7.1514,3.85,3.85,7.96718,7.8953,-3.3014,0,
