TREE,SIZE_Class,DBH,H,Latin,survey_dbh.2015,
92544,<15,5.9,4.703174817,Cercis canadensis,6.71,
92539,15<35,30.6,24.27228702,Liriodendron tulipifera,30.3,
82407,>35,73.4,40.47660891,Liriodendron tulipifera,72.2,
92517,<15,6.3,5.189059448,Cercis canadensis,6,
82374,15<35,32.1,20.32440343,Liriodendron tulipifera,31.86,
92516,>35,64.7,44.30760144,Liriodendron tulipifera,63.19,
92494,<15,7.3,8.574374158,Carya tomentosa,7.01,
92500,15<35,15.6,16.67443941,Carya tomentosa,15.11,
82368,>35,99.6,41.00877883,Liriodendron tulipifera,99.39,
92459,<15,7.1,4.95609493,Nyssa sylvatica,6.55,
92472,15<35,29.8,22.73284053,Carya ovalis,29.51,
92466,>35,84.2,47.70237391,Liriodendron tulipifera,83.45,
92446,<15,8.3,7.762774047,Prunus avium,8.01,
92447,15<35,17.5,22.97785726,Liriodendron tulipifera,16.68,
92443,>35,77.6,36.42725934,Quercus rubra,75.59,
92397,<15,6.6,6.523399091,Viburnum prunifolium,6.42,
92415,15<35,20.9,15.80921715,Nyssa sylvatica,20.68,
92414,>35,43.8,35.77831877,Liriodendron tulipifera,43.28,
92385,<15,6.1,5.658444032,Carya glabra,5.87,
92389,15<35,27,25.5573948,Liriodendron tulipifera,26.62,
92387,>35,55.55,34.77072731,Liriodendron tulipifera,54.1,
92380,<15,8,5.550586843,Cornus florida,8.3,
82253,15<35,15.7,16.44516488,Liriodendron tulipifera,15.3,
82251,>35,62.3,37.44260626,Quercus alba,61.58,
82232,<15,12.2,11.28492677,Carya glabra,11.91,
92249,15<35,20.8,15.16372223,Nyssa sylvatica,20.54,
82228,>35,58.9,34.14830775,Quercus rubra,59.85,
82210,<15,9.1,11.55222572,Carya glabra,8.99,
82183,15<35,19.1,19.40856161,Nyssa sylvatica,19,
92214,>35,51.2,35.34736009,Liriodendron tulipifera,49.92,
83202,<15,11.3,5.374762579,Amelanchier arborea,7.19,
83201,15<35,19,19.32221224,Carya glabra,18,
92172,>35,46.2,31.9776762,Liriodendron tulipifera,44.49,
92127,<15,2.9,3.994415579,Carya glabra,2.9,
92124,15<35,16.6,14.22808377,Acer rubrum,16.72,
82140,>35,59.7,30.94291859,Quercus alba,59.02,
82109,<15,5.55,4.332958591,Acer rubrum,5.49,
82104,15<35,21.4,16.76419049,Nyssa sylvatica,21.41,
92085,>35,59.8,32.30703808,Quercus alba,58.45,
92053,<15,5.1,4.948900317,Carya tomentosa,5,
82065,15<35,18.9,16.02392665,Carya glabra,18.53,
82060,>35,37.5,28.67121183,Carya glabra,36.36,
92012,<15,5.6,5.342900545,Carpinus caroliniana,5.44,
82027,15<35,17,23.35314055,Acer rubrum,16.06,
92016,>35,65.55,28.11660159,Quercus rubra,63.8,
80585,<15,10.5,8.663971755,Acer rubrum,9.72,
80582,15<35,25,21.81799053,Prunus avium,24.18,
80580,>35,32.9,24.70286659,Acer rubrum,32.3,
