treeid,stemid,tag,stemtag,quadratname,lx,ly,px,py
1,1,10079,1,104,3.7,13,3.7,73
2,2,10168,1,103,17.3,18.9,17.3,58.9
3,3,10567,1,110,9,17.1,9,197.10001
4,4,12165,1,122,14.2,8.5,14.2,428.5
5,5,12190,1,122,9.4,16.4,9.4,436.39999
6,6,12192,1,122,1.3,14,1.3,434
7,7,12212,1,123,17.8,7.1,17.8,447.10001
8,8,12261,1,125,18,3.7,18,483.70001
9,9,12456,1,130,18,17.8,18,597.79999
10,10,12551,1,132,5.6,7.7,5.6,627.70001
11,11,12608,1,132,13.3,3.3,13.3,623.29999
12,12,12655,1,132,9,16.1,9,636.09998
13,13,20001,1,201,2.5,2.7,22.5,2.7
14,14,20002,1,201,2.2,3.6,22.2,3.6
15,15,20011,1,201,7.6,0.4,27.6,0.4
16,16,20012,1,201,10.7,1.5,30.7,1.5
17,17,20031,1,201,17.1,7.4,37.1,7.4
18,18,20036,1,201,20,13.2,40,13.2
19,19,20038,1,201,18.1,14.3,38.1,14.3
20,20,20053,1,201,6.7,9.3,26.7,9.3
21,21,20064,1,217,11.4,1.7,31.4,321.70001
22,22,20090,1,204,19.1,7.3,39.1,67.3
23,23,20106,1,202,5.7,8.3,25.7,28.3
24,24,20111,1,202,14.2,1.4,34.2,21.4
25,25,20114,1,202,15.8,2.2,35.8,22.2
26,26,20120,1,202,2.3,12.6,22.3,32.6
27,27,20132,1,202,13.2,13.9,33.2,33.9
28,28,20133,1,202,14.2,15.8,34.2,35.8
29,29,20151,1,203,11.5,5.8,31.5,45.8
30,30,20158,1,203,3.9,12.2,23.9,52.2
31,31,20163,1,203,2.2,14.6,22.2,54.6
32,32,20165,1,203,5.4,14.5,25.4,54.5
33,33,20168,1,203,16,13.1,36,53.1
34,34,20169,1,203,17.2,13.4,37.2,53.4
35,35,20172,1,203,18.4,15.4,38.4,55.4
36,36,20179,1,203,11.6,18.4,31.6,58.4
37,37,20180,1,203,11.5,18.2,31.5,58.2
