"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","DBHID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","countPOM","date","status","agb","tags_comb","lx","ly","Visit_Number","AcceptedLatinName","Genus","year","Tree_Status"
574,574,"130970",1,"libe",1306,256.299987792969,95.5999984741211,68863,2,20.3999996185303,1.25,1.25,"2013-07-24","alive","M",1,19563,"A",0.000584861278465266,"130970_1",16.3,-4.4,NA,NA,NA,"2008, 2013, 2018",NA
574,31758,"130970",2,"libe",1306,256.299987792969,95.5999984741211,68864,2,18.3999996185303,1.3,1.29999995231628,"2013-07-24","alive","S",1,19563,"A",0.000457279702861412,"130970_2",16.3,-4.4,NA,NA,NA,"2008, 2013, 2018",NA
574,36752,"130970",3,"libe",1306,256.299987792969,95.5999984741211,68865,2,0,0,0,"2013-07-24","dead","DS",1,19563,"D",NA,"130970_3",16.3,-4.4,NA,NA,NA,"2008, 2013, 2018",NA
575,575,"130984",1,"libe",1306,258.399993896484,99,68878,2,22.7000007629395,1.3,1.29999995231628,"2013-07-24","alive","M",1,19563,"A",0.000757059928023809,"130984_1",18.4,-1,NA,NA,NA,"2008, 2013, 2018",NA
575,31759,"130984",2,"libe",1306,258.399993896484,99,68879,2,19.1000003814697,1.3,1.29999995231628,"2013-07-24","alive","S",1,19563,"A",0.000499679770955302,"130984_2",18.4,-1,NA,NA,NA,"2008, 2013, 2018",NA
575,36753,"130984",3,"libe",1306,258.399993896484,99,68880,2,0,0,0,"2013-07-24","dead","DS",1,19563,"D",NA,"130984_3",18.4,-1,NA,NA,NA,"2008, 2013, 2018",NA
575,38446,"130984",4,"libe",1306,258.399993896484,99,68881,2,0,0,0,"2013-07-24","dead","DC",1,19563,"D",NA,"130984_4",18.4,-1,NA,NA,NA,"2008, 2013, 2018",NA
5441,5441,"40981",1,"qupr",416,62.2999992370605,280.600006103516,47795,2,362.100006103516,1.3,1.29999995231628,"2013-05-16","alive",NA,1,19494,"A",1.0704564846008,"40981_1",2.3,-19.4,NA,NA,NA,"2008, 2013, 2018",NA
5469,5469,"41014",1,"caca",416,74.1999969482422,280.799987792969,47809,2,0,0,0,"2013-05-16","dead","DC",1,19494,"D",NA,"41014_1",14.2,-19.2,NA,NA,NA,"2008, 2013, 2018",NA
5469,32876,"41014",2,"caca",416,74.1999969482422,280.799987792969,47810,2,57.7999992370605,1.3,1.29999995231628,"2013-05-16","alive","L",1,19494,"A",0.00911686220817662,"41014_2",14.2,-19.2,NA,NA,NA,"2008, 2013, 2018",NA
5470,5470,"41015",1,"caca",416,70.4000015258789,280.5,47811,2,112.199996948242,1.3,1.29999995231628,"2013-05-16","alive",NA,1,19494,"A",0.0525805274893249,"41015_1",10.4,-19.5,NA,NA,NA,"2008, 2013, 2018",NA
5471,5471,"41016",1,"tiam",416,70.1999969482422,280.799987792969,47812,2,450,1.3,1.29999995231628,"2013-05-16","alive","M",1,19494,"A",1.85338666907377,"41016_1",10.2,-19.2,NA,NA,NA,"2008, 2013, 2018",NA
5471,32877,"41016",2,"tiam",416,70.1999969482422,280.799987792969,47813,2,411.5,1.3,1.29999995231628,"2013-05-16","alive","S",1,19494,"A",1.48040107829645,"41016_2",10.2,-19.2,NA,NA,NA,"2008, 2013, 2018",NA
5472,5472,"41019",1,"caovl",416,67.0999984741211,280.600006103516,47814,2,240,1.3,1.29999995231628,"2013-05-16","alive",NA,1,19494,"A",0.370078483952932,"41019_1",7.1,-19.4,NA,NA,NA,"2008, 2013, 2018",NA
7520,7520,"60540",1,"cagl",612,110.699996948242,203.5,49070,2,358.899993896484,1.3,1.29999995231628,"2013-05-29","alive",NA,1,19507,"A",1.2616613269472,"60540_1",10.7,-16.5,NA,NA,NA,"2008, 2013, 2018",NA
14729,14729,"111389",1,"astr",1102,217.199996948242,114.800003051758,58186,2,33.0999984741211,0,0,"2013-07-10","alive",NA,1,19549,"A",0.00211575213740095,"111389_1",17.2,94.8,NA,NA,NA,"2008, 2013, 2018",NA
14730,14730,"111390",1,"astr",1102,216.899993896484,114.800003051758,58187,2,25.7999992370605,0,0,"2013-07-10","alive",NA,1,19549,"A",0.00113639782457523,"111390_1",16.9,94.8,NA,NA,NA,"2008, 2013, 2018",NA
16811,16811,"122299",1,"qual",1225,238.300003051758,466.399993896484,61591,2,624.299987792969,1.3,1.29999995231628,"2013-07-22","alive",NA,1,19561,"A",4.77556181218691,"122299_1",18.3,-13.6,NA,NA,NA,"2008, 2013, 2018",NA
17632,17632,"130679",1,"libe",1205,259.600006103516,96.6999969482422,68703,2,18.2999992370605,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.000451415936120891,"130679_1",39.6,16.7,NA,NA,NA,"2008, 2013, 2018",NA
17893,17893,"130963",1,"libe",1306,260,91.8000030517578,68855,2,15.1000003814697,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.000288104921531024,"130963_1",20,-8.2,NA,NA,NA,"2008, 2013, 2018",NA
17894,17894,"130964",1,"libe",1306,259.100006103516,93.8000030517578,68856,2,16.2000007629395,1.3,1.29999995231628,"2013-07-24","alive","M",1,19563,"A",0.000339066677760456,"130964_1",19.1,-6.2,NA,NA,NA,"2008, 2013, 2018",NA
17894,34630,"130964",2,"libe",1306,259.100006103516,93.8000030517578,68857,2,13.3999996185303,1.3,1.29999995231628,"2013-07-24","alive","S",1,19563,"A",0.000219335972667639,"130964_2",19.1,-6.2,NA,NA,NA,"2008, 2013, 2018",NA
17895,17895,"130965",1,"libe",1306,259.200012207031,93.1999969482422,68858,2,12.8999996185303,1.3,1.29999995231628,"2013-07-24","alive","L",1,19563,"A",0.000201311613538085,"130965_1",19.2,-6.8,NA,NA,NA,"2008, 2013, 2018",NA
17896,17896,"130966",1,"libe",1306,258.899993896484,93.6999969482422,68859,2,0,0,0,"2013-07-24","dead","DC,R",1,19563,"D",NA,"130966_1",18.9,-6.3,NA,NA,NA,"2008, 2013, 2018",NA
17897,17897,"130967",1,"libe",1306,258.700012207031,93.5,68860,2,0,0,0,"2013-07-24","dead","DS,R",1,19563,"D",NA,"130967_1",18.7,-6.5,NA,NA,NA,"2008, 2013, 2018",NA
17898,17898,"130968",1,"libe",1306,258.299987792969,92.9000015258789,68861,2,26.2000007629395,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.00107572381726485,"130968_1",18.3,-7.1,NA,NA,NA,"2008, 2013, 2018",NA
17899,17899,"130969",1,"libe",1306,257,94,68862,2,16.3999996185303,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.000348900808730867,"130969_1",17,-6,NA,NA,NA,"2008, 2013, 2018",NA
17901,17901,"130972",1,"libe",1306,252.199996948242,97.9000015258789,68866,2,17,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.00037947910284155,"130972_1",12.2,-2.1,NA,NA,NA,"2008, 2013, 2018",NA
17902,17902,"130973",1,"quve",1306,253,97.6999969482422,68867,2,526,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",2.79353357802553,"130973_1",13,-2.3,NA,NA,NA,"2008, 2013, 2018",NA
17904,17904,"130975",1,"caca",1306,254.399993896484,99.5,68868,2,26,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.00118909065304826,"130975_1",14.4,-0.5,NA,NA,NA,"2008, 2013, 2018",NA
17905,17905,"130976",1,"caca",1306,256.399993896484,97.6999969482422,68869,2,21.7000007629395,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.000764573142945919,"130976_1",16.4,-2.3,NA,NA,NA,"2008, 2013, 2018",NA
17906,17906,"130977",1,"caca",1306,257.799987792969,97.8000030517578,68870,2,22.2999992370605,1.3,1.29999995231628,"2013-07-24","alive","M",1,19563,"A",0.000816784851571629,"130977_1",17.8,-2.2,NA,NA,NA,"2008, 2013, 2018",NA
17907,17907,"130978",1,"libe",1306,259,95.5999984741211,68871,2,16,1.3,1.29999995231628,"2013-07-24","alive","M",1,19563,"A",0.00032940943511628,"130978_1",19,-4.4,NA,NA,NA,"2008, 2013, 2018",NA
17908,17908,"130979",1,"libe",1306,259,95.8000030517578,68872,2,15.5,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.00030603160781897,"130979_1",19,-4.2,NA,NA,NA,"2008, 2013, 2018",NA
17909,17909,"130980",1,"libe",1306,260,96.1999969482422,68873,2,13.1999998092651,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.000212009522515523,"130980_1",20,-3.8,NA,NA,NA,"2008, 2013, 2018",NA
17910,17910,"130981",1,"ceca",1306,260,97,68874,2,19.3999996185303,1.3,1.29999995231628,"2013-07-24","alive",NA,1,19563,"A",0.000654684535296691,"130981_1",20,-3,NA,NA,NA,"2008, 2013, 2018",NA
