"tag","StemTag","stemID","quadrat","sp","gx","gy","dbh.2013","date.2013","agb.2013","status.2013","status.2014","date.2014","dbh.if.dead.2014","agb.if.dead.2014","status.2015","date.2015","dbh.if.dead.2015","agb.if.dead.2015","status.2016","date.2016","dbh.if.dead.2016","agb.if.dead.2016","status.2017","date.2017","dbh.if.dead.2017","agb.if.dead.2017","status.2018","date.2018","dbh.if.dead.2018","agb.if.dead.2018","Latin","Genus","Species","Family"
"10001","1",1002,"0101","ulsp",6.09999990463257,1,NA,2013-03-13,0,"Dead","Dead",2014-08-21,NA,NA,"Dead",2015-07-07,NA,NA,"Dead",2016-07-14,NA,NA,"Dead",2017-07-18,NA,NA,"Dead",2018-07-05,NA,NA,"Ulmus sp","Ulmus","sp","Ulmaceae"
"10001","2",32184,"0101","ulsp",6.09999990463257,1,NA,2013-03-13,0,"Dead","Dead",2014-08-21,NA,NA,"Dead",2015-07-07,NA,NA,"Dead",2016-07-14,NA,NA,"Dead",2017-07-18,NA,NA,"Dead",2018-07-05,NA,NA,"Ulmus sp","Ulmus","sp","Ulmaceae"
"10006","1",1006,"0101","juni",7.19999980926514,6.5,609,2013-03-13,2.81623573510539,"Live","Live",2014-08-21,NA,NA,"Live",2015-07-07,NA,NA,"Live",2016-07-14,NA,NA,"Live",2017-07-18,NA,NA,"Live",2018-07-05,NA,NA,"Juglans nigra","Juglans","nigra","Juglandaceae"
"10007","1",1007,"0101","unk",7.40000009536743,9.39999961853027,NA,2013-03-13,0,"Dead","Dead",2014-08-21,NA,NA,"Dead",2015-07-07,NA,NA,"Dead",2016-07-14,NA,NA,"Dead",2017-07-18,NA,NA,"Dead",2018-07-05,NA,NA,"Unidentified unk","Unidentified","unk","Unknown"
"10009","1",1008,"0101","caco",3.59999990463257,10.8000001907349,262,2013-03-13,0.397434373327562,"Live","Live",2014-08-21,NA,NA,"Live",2015-07-07,NA,NA,"Live",2016-07-14,NA,NA,"Live",2017-07-18,NA,NA,"Live",2018-07-05,NA,NA,"Carya cordiformis","Carya","cordiformis","Juglandaceae"
"10010","1",1009,"0101","juni",7.30000019073486,12.1999998092651,578,2013-03-13,2.46577724387426,"Live","Live",2014-08-21,NA,NA,"Live",2015-07-07,NA,NA,"Live",2016-07-14,NA,NA,"Live",2017-07-18,NA,NA,"Live",2018-07-05,NA,NA,"Juglans nigra","Juglans","nigra","Juglandaceae"
"10011","1",1010,"0101","ulru",7.90000009536743,18.1000003814697,NA,2013-03-13,0,"Dead","Dead",2014-08-21,NA,NA,"Dead",2015-07-07,NA,NA,"Dead",2016-07-14,NA,NA,"Dead",2017-07-18,NA,NA,"Dead",2018-07-05,NA,NA,"Ulmus rubra","Ulmus","rubra","Ulmaceae"
"10013","1",1011,"0102","fram",5.5,23.5,228,2013-03-21,0.247486606203678,"Live","Live",2014-08-21,NA,NA,"Live",2015-07-07,NA,NA,"Live",2016-07-14,NA,NA,"Live",2017-07-18,NA,NA,"Live",2018-07-05,NA,NA,"Fraxinus americana","Fraxinus","americana","Oleaceae"
"10016","1",1013,"0102","ceoc",5.80000019073486,22.7999992370605,233.199996948242,2013-03-21,0.0751633305384453,"Live","Live",2014-08-21,NA,NA,"Live",2015-07-07,NA,NA,"Live",2016-07-14,NA,NA,"Live",2017-07-18,NA,NA,"Live",2018-07-05,NA,NA,"Celtis occidentalis","Celtis","occidentalis","Cannabaceae"
"10019","1",1016,"0102","ulru",1.89999997615814,27.2000007629395,NA,2013-03-21,0,"Dead","Dead",2014-08-21,NA,NA,"Dead",2015-07-07,NA,NA,"Dead",2016-07-14,NA,NA,"Dead",2017-07-18,NA,NA,"Dead",2018-07-05,NA,NA,"Ulmus rubra","Ulmus","rubra","Ulmaceae"
"10020","1",1017,"0102","ulru",2.20000004768372,27.1000003814697,61,2013-03-21,0.0086032779833169,"Live","Live",2014-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulmus rubra","Ulmus","rubra","Ulmaceae"
"10021","1",1018,"0102","fram",5.09999990463257,30.1000003814697,160,2013-03-21,0.102830417623314,"Live","Live",2014-08-21,NA,NA,"Live",2015-07-07,NA,NA,"Live",2016-07-14,NA,NA,"Live",2017-07-18,NA,NA,"Live",2018-07-05,NA,NA,"Fraxinus americana","Fraxinus","americana","Oleaceae"
"10035","1",1030,"0103","acru",4.80000019073486,50.0999984741211,467,2013-03-29,1.11436837234165,"Live","Live",2014-08-21,NA,NA,"Live",2015-07-15,NA,NA,"Live",2016-07-14,NA,NA,"Live",2017-07-18,NA,NA,"Live",2018-07-05,NA,NA,"Acer rubrum","Acer","rubrum","Sapindaceae"
"10036","1",1031,"0103","acru",6.19999980926514,49.5,420.799987792969,2013-03-29,0.865152672890811,"Live","Live",2014-08-21,NA,NA,"Live",2015-07-15,NA,NA,"Live",2016-07-14,NA,NA,"Live",2017-07-18,NA,NA,"Live",2018-07-05,NA,NA,"Acer rubrum","Acer","rubrum","Sapindaceae"
"10037","1",1032,"0103","acru",8.10000038146973,53.5999984741211,381.200012207031,2013-03-29,0.680440757018147,"Live","Live",2014-08-21,NA,NA,"Live",2015-07-15,NA,NA,"Live",2016-07-14,NA,NA,"Live",2017-07-18,NA,NA,"Live",2018-07-05,NA,NA,"Acer rubrum","Acer","rubrum","Sapindaceae"
