"tag","StemTag","stemID","quadrat","sp","Latin","gx","gy","pom","dbh.2008","codes.2008","status.2008","date.2008"
"10001","1",1002,"0101","ulsp","Ulmus sp",6.09999990463257,1,"1.3",188.300003051758,"G,M,lost","A","2008-10-21"
"10001","2",32184,"0101","ulsp","Ulmus sp",6.09999990463257,1,"1.3",116.800003051758,"G,S","A","2008-10-21"
"10006","1",1006,"0101","juni","Juglans nigra",7.19999980926514,6.5,"1.3",599.900024414062,NA,"A","2008-10-21"
"10007","1",1007,"0101","unk","Unidentified unk",7.40000009536743,9.39999961853027,"1.3",178.899993896484,"D,Q","D","2008-10-21"
"10009","1",1008,"0101","caco","Carya cordiformis",3.59999990463257,10.8000001907349,"1.3",202.300003051758,"I","A","2008-10-21"
"10010","1",1009,"0101","juni","Juglans nigra",7.30000019073486,12.1999998092651,"1.3",541.900024414062,NA,"A","2008-10-21"
"10011","1",1010,"0101","ulru","Ulmus rubra",7.90000009536743,18.1000003814697,"1.3",203.100006103516,"D","D","2008-10-21"
"10013","1",1011,"0102","fram","Fraxinus americana",5.5,23.5,"1.3",194.600006103516,NA,"A","2008-10-21"
"10016","1",1013,"0102","ceoc","Celtis occidentalis",5.80000019073486,22.7999992370605,"1.3",205.899993896484,NA,"A","2008-10-21"
"10019","1",1016,"0102","ulru","Ulmus rubra",1.89999997615814,27.2000007629395,"1.3",137.199996948242,"D","D","2008-10-21"
"10020","1",1017,"0102","ulru","Ulmus rubra",2.20000004768372,27.1000003814697,"1.3",13.3999996185303,NA,"A","2008-10-21"
"10021","1",1018,"0102","fram","Fraxinus americana",5.09999990463257,30.1000003814697,"1.3",120.099998474121,NA,"A","2008-10-21"
"10035","1",1030,"0103","acru","Acer rubrum",4.80000019073486,50.0999984741211,"1.3",450.100006103516,NA,"A","2008-10-21"
"10036","1",1031,"0103","acru","Acer rubrum",6.19999980926514,49.5,"1.3",425,NA,"A","2008-10-21"
"10037","1",1032,"0103","acru","Acer rubrum",8.10000038146973,53.5999984741211,"1.3",378.5,"I","A","2008-10-21"
"10039","1",1033,"0103","libe","Lindera benzoin",8.10000038146973,54.0999984741211,"1.3",55,"D","D","2008-10-21"
"10045","1",1039,"0104","cato","Carya tomentosa",0.600000023841858,61.2000007629395,"1.2",171.800003051758,"A","A","2008-10-21"
"10053","1",1046,"0104","acru","Acer rubrum",4.80000019073486,61.2000007629395,"1.3",164.199996948242,NA,"A","2008-10-21"
"10057","1",1049,"0104","fram","Fraxinus americana",6.19999980926514,69.6999969482422,"1.3",184.800003051758,NA,"A","2008-10-21"
"10058","1",1050,"0104","astr","Asimina triloba",6.69999980926514,70,"1.3",64.5999984741211,"M","A","2008-10-21"
"10058","2",32195,"0104","astr","Asimina triloba",6.69999980926514,70,"1.3",57.2999992370605,"S","A","2008-10-21"
"10073","1",1064,"0104","libe","Lindera benzoin",4.19999980926514,72.5,"1.3",32.9000015258789,NA,"A","2008-10-21"
"10080","1",1070,"0104","prse","Prunus serotina",3.70000004768372,73.4000015258789,"1.3",30.2000007629395,NA,"A","2008-10-21"
"10101","1",1091,"0101","ulru","Ulmus rubra",8.89999961853027,1.79999995231628,"1.3",95.8000030517578,NA,"A","2008-10-21"
"10105","1",1092,"0101","libe","Lindera benzoin",7.5,2.5,"1.3",64.5999984741211,NA,"A","2008-10-21"
"10106","1",1093,"0101","ulru","Ulmus rubra",11,2.5,"1.3",95.3000030517578,NA,"A","2008-10-21"
"10109","1",1094,"0101","caco","Carya cordiformis",15.1000003814697,2,"1.3",116.099998474121,NA,"A","2008-10-21"
"10111","1",1095,"0101","libe","Lindera benzoin",16.6000003814697,0.699999988079071,"1.3",58.7999992370605,"I,M","A","2008-10-21"
"10116","1",1099,"0101","unk","Unidentified unk",12.5,10.1000003814697,"1.3",163.699996948242,"D,Q","D","2008-10-21"
"10119","1",1101,"0101","vipr","Viburnum prunifolium",15.6999998092651,9.39999961853027,"1.3",72.5,"I,M","A","2008-10-21"
"10119","2",32218,"0101","vipr","Viburnum prunifolium",15.6999998092651,9.39999961853027,"1.3",63.4000015258789,"S","A","2008-10-21"
"10119","3",36961,"0101","vipr","Viburnum prunifolium",15.6999998092651,9.39999961853027,"1.3",46.7999992370605,"S","A","2008-10-21"
"10122","1",1104,"0101","juni","Juglans nigra",15.6000003814697,13.6000003814697,"1.3",761.900024414062,NA,"A","2008-10-21"
"10127","1",1105,"0101","ceoc","Celtis occidentalis",15.6000003814697,14.1999998092651,"1.3",87.8000030517578,NA,"A","2008-10-21"
