tag,StemTag,stemID,quadrat,sp,Latin,gx,gy,hom,dbh.2008,codes.2008,status.2008,date.2008,agb.2008,dbh.2013,codes.2013,status.2013,date.2013,agb.2013,dbh.2018,codes.2018,status.2018,date.2018,agb.2018,status.2019,status.2020,dbh.if.dead.2020,agb.if.dead.2020,perc.crown,crown.position,fad1,fad2,fad3,fad4,DF,liana.load,fraxinus.crown.thinning,fraxinus.epicormic.growth,EABF,DE.count,comments,date.2020,surveyors
10001,1,1002,101,ulsp,Ulmus sp,6.1,1,1.3,188.3,G;M;lost,G,10/21/2008,0.141233283,0,DC,D,3/13/2013,0,NA,DN,D,8/27/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10001,2,32184,101,ulsp,Ulmus sp,6.1,1,1.3,116.8,G;S,A,10/21/2008,0.04260987,0,DC,D,3/13/2013,0,NA,DN,D,8/27/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10006,1,1006,101,juni,Juglans nigra,7.2,6.5,1.3,599.9,NULL,A,10/21/2008,2.710423779,609,NULL,A,3/13/2013,2.816235735,616,NULL,A,8/27/2018,2.899308676,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10007,1,1007,101,unk,Unidentified unk,7.4,9.4,1.3,178.9,D;Q,D,10/21/2008,0.038914367,0,DC,D,3/13/2013,0,NA,DC,D,8/27/2018,NA,PD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10009,1,1008,101,caco,Carya cordiformis,3.6,10.8,1.3,202.3,I,A,10/21/2008,0.192011257,262,NULL,A,3/13/2013,0.392205996,283,I,A,8/27/2018,0.48528872,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10010,1,1009,101,juni,Juglans nigra,7.3,12.2,1.3,541.9,NULL,A,10/21/2008,2.092705627,578,NULL,A,3/13/2013,2.465777244,629,NULL,A,8/27/2018,3.057494218,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,tag missing,7/1/2020,Cameron Dow
10011,1,1010,101,ulru,Ulmus rubra,7.9,18.1,1.3,203.1,D,D,10/21/2008,0.156791972,0,DS,D,3/13/2013,0,NA,DC,D,8/27/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10013,1,1011,102,fram,Fraxinus americana,5.5,23.5,1.3,194.6,NULL,A,10/21/2008,0.16709416,228,NULL,A,3/21/2013,0.247486606,268,NULL,A,8/27/2018,0.369516239,A,DS,265,0.359343658,4,I,I,,,,NA,1,5,1,"DE, W",2,tag missing,7/1/2020,Cameron Dow
10016,1,1013,102,ceoc,Celtis occidentalis,5.8,22.8,1.3,205.9,NULL,A,10/21/2008,0.055171872,233.2,NULL,A,3/21/2013,0.075163333,257,NULL,A,8/27/2018,0.095679985,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10019,1,1016,102,ulru,Ulmus rubra,1.9,27.2,1.3,137.2,D,D,10/21/2008,0.060842092,0,DC,D,3/21/2013,0,NA,DN,D,8/27/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10020,1,1017,102,ulru,Ulmus rubra,2.2,27.1,1.3,13.4,NULL,A,10/21/2008,0.000221906,61,NULL,A,3/21/2013,0.008603278,NA,DS,D,8/27/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021,1,1018,102,fram,Fraxinus americana,5.1,30.1,1.3,120.1,NULL,A,10/21/2008,0.050488866,160,NULL,A,3/21/2013,0.102830418,206,NULL,A,8/27/2018,0.192430009,A,A,NA,NA,NA,I,,,,,NA,NA,4,0,W,NA,,7/1/2020,Cameron Dow
10035,1,1030,103,acru,Acer rubrum,4.8,50.1,1.3,450.1,NULL,A,10/21/2008,1.018895535,467,NULL,A,3/29/2013,1.114368372,505,NULL,A,8/27/2018,1.347680072,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10036,1,1031,103,acru,Acer rubrum,6.2,49.5,1.3,425,NULL,A,10/21/2008,0.886285936,420.8,I,A,3/29/2013,0.865152734,442,NULL,A,8/27/2018,0.974910779,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10037,1,1032,103,acru,Acer rubrum,8.1,53.6,1.3,378.5,I,A,10/21/2008,0.668788591,381.2,NULL,A,3/29/2013,0.680440704,NA,DC,G,8/27/2018,NA,AU,AU,NA,NA,NA,CD,DF,,,,3,NA,NA,NA,,NA,epicormic growth,7/1/2020,Cameron Dow
10039,1,1033,103,libe,Lindera benzoin,8.1,54.1,1.3,55,D,D,10/21/2008,0.006701079,0,DN,D,3/29/2013,NA,NA,DN,D,8/27/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10045,1,1039,104,cato,Carya tomentosa,0.6,61.2,1.2,171.8,A,A,10/21/2008,0.122264402,228.2,NULL,A,4/1/2013,0.26781436,335,I,A,8/27/2018,0.773285415,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10053,1,1046,104,acru,Acer rubrum,4.8,61.2,1.3,164.2,NULL,A,10/21/2008,0.087891225,168.1,NULL,A,4/1/2013,0.093050412,171,NULL,A,8/27/2018,0.096999458,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10057,1,1049,104,fram,Fraxinus americana,6.2,69.7,1.3,184.8,NULL,A,10/21/2008,0.146998331,0,DS,D,4/1/2013,0,NA,DS,D,8/27/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10058,1,1050,104,astr,Asimina triloba,6.7,70,1.3,64.6,M,A,10/21/2008,0.003100735,72.4,M,A,4/1/2013,0.004115408,83,M,A,8/27/2018,0.005778068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10058,2,32195,104,astr,Asimina triloba,6.7,70,1.3,57.3,S,A,10/21/2008,0.002302127,68,S,A,4/1/2013,0.00352199,77,S,A,8/27/2018,0.004795699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10073,1,1064,104,libe,Lindera benzoin,4.2,72.5,1.3,32.9,NULL,A,10/21/2008,0.001938993,54.1,M,A,4/1/2013,0.005876364,66,M,A,8/27/2018,0.00995677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10080,1,1070,104,prse,Prunus serotina,3.7,73.4,1.3,30.2,NULL,A,10/21/2008,0.000536462,68.9,NULL,A,4/1/2013,0.007360963,100,NULL,A,8/27/2018,0.024022652,A,A,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10101,1,1091,101,ulru,Ulmus rubra,8.9,1.8,1.3,95.8,NULL,A,10/21/2008,0.025571538,100.5,NULL,A,3/13/2013,0.02870482,NA,DS,D,8/27/2018,NA,PD,PD,NA,NA,NA,,,,,,NA,NA,NA,NA,,NA,,7/1/2020,Cameron Dow
10105,1,1092,101,libe,Lindera benzoin,7.5,2.5,1.3,64.6,NULL,A,10/21/2008,0.009880106,76,NULL,A,3/13/2013,0.014624967,NA,DC,D,8/27/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10106,1,1093,101,ulru,Ulmus rubra,11,2.5,1.3,95.3,NULL,A,10/21/2008,0.025250638,94,NULL,A,3/13/2013,0.024427381,NA,DS,D,8/27/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
