quadrat,tag,stem,sp,lx,ly,codes.2013,dbh.2013,status.2015,status.2016,status. 2017,new.status,dbh.if.dead,perc.crown,crown.position,fad1,fad2,fad3,fad4,DF,liana.load,fraxinus.crown thinning,fraxinus.epicormic growth,EABF,DE.count,Old comments,2018 comments,cored,Date,surveyors
101,10001,1,ulsp,6.1,1,DC,188.3000031,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
101,10001,2,ulsp,6.1,1,DC,116.8000031,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
101,10006,1,juni,7.2,6.5,,609,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
101,10007,1,unk,7.4,9.4,DC,178.8999939,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
101,10009,1,caco,3.6,10.8,,262,A,A,A,A,,,,,,,,,,,,,,,swelling,,7/5/2018,Prestipino/Terrell
101,10010,1,juni,7.3,12.2,,578,A,A,A,A,,,,,,,,,,,,,,tag missing,tag missing,,7/5/2018,Prestipino/Terrell
101,10011,1,ulru,7.9,18.1,DS,203.1000061,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
101,10101,1,ulru,8.9,1.8,,100.5,A,AU,DS,PD,95.5,1,I,B,K,,,,4,,,,,break at ?5m,,,7/5/2018,Prestipino/Terrell
101,10109,1,caco,15.1,2,,119,A,A,A,A,,,,,,,,,,,,,,high liana load,high liana load,,7/5/2018,Prestipino/Terrell
101,10116,1,unk,12.5,10.1,DC,163.6999969,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
101,10122,1,juni,15.6,13.6,,815,A,A,A,A,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
101,10129,1,ceoc,15.6,14.2,DC,124.0999985,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
101,10130,1,ceoc,15.6,16.2,,113,A,A,A,AU,,,,DF,,,,3,2,,,,,high liana load,liana load,,7/5/2018,Prestipino/Terrell
101,10131,1,casp,15.6,18.4,DC,242.1000061,PD,PD,PD,PD,,,,,,,,,,,,,,,,,7/5/2018,Prestipino/Terrell
